Net generation from other for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.OTH.H
19:17:39 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.OTH.H megawatthours
11/1/2021 00H,139
10/31/2021 23H,141
10/31/2021 22H,141
10/31/2021 21H,149
10/31/2021 20H,153
10/31/2021 19H,157
10/31/2021 18H,159
10/31/2021 17H,164
10/31/2021 16H,160
10/31/2021 15H,152
10/31/2021 14H,146
10/31/2021 13H,136
10/31/2021 12H,135
10/31/2021 11H,135
10/31/2021 10H,134
10/31/2021 09H,128
10/31/2021 08H,136
10/31/2021 07H,132
10/31/2021 06H,131
10/31/2021 05H,129
10/31/2021 04H,133
10/31/2021 03H,141
10/31/2021 02H,136
10/31/2021 01H,135
10/31/2021 00H,136
10/30/2021 23H,134
10/30/2021 22H,136
10/30/2021 21H,141
10/30/2021 20H,146
10/30/2021 19H,778
10/30/2021 18H,140
10/30/2021 17H,142
10/30/2021 16H,140
10/30/2021 15H,141
10/30/2021 14H,143
10/30/2021 13H,143
10/30/2021 12H,141
10/30/2021 11H,142
10/30/2021 10H,142
10/30/2021 09H,141
10/30/2021 08H,136
10/30/2021 07H,137
10/30/2021 06H,140
10/30/2021 05H,139
10/30/2021 04H,141
10/30/2021 03H,137
10/30/2021 02H,140
10/30/2021 01H,139
10/30/2021 00H,140
10/29/2021 23H,139
10/29/2021 22H,137
10/29/2021 21H,138
10/29/2021 20H,141
10/29/2021 19H,142
10/29/2021 18H,152
10/29/2021 17H,146
10/29/2021 16H,142
10/29/2021 15H,139
10/29/2021 14H,141
10/29/2021 13H,143
10/29/2021 12H,140
10/29/2021 11H,141
10/29/2021 10H,142
10/29/2021 09H,141
10/29/2021 08H,142
10/29/2021 07H,142
10/29/2021 06H,140
10/29/2021 05H,141
10/29/2021 04H,138
10/29/2021 03H,135
10/29/2021 02H,139
10/29/2021 01H,141
10/29/2021 00H,142
10/28/2021 23H,143
10/28/2021 22H,142
10/28/2021 21H,135
10/28/2021 20H,139
10/28/2021 19H,146
10/28/2021 18H,149
10/28/2021 17H,152
10/28/2021 16H,153
10/28/2021 15H,144
10/28/2021 14H,138
10/28/2021 13H,140
10/28/2021 12H,135
10/28/2021 11H,136
10/28/2021 10H,134
10/28/2021 09H,129
10/28/2021 08H,128
10/28/2021 07H,133
10/28/2021 06H,128
10/28/2021 05H,128
10/28/2021 04H,130
10/28/2021 03H,127
10/28/2021 02H,137
10/28/2021 01H,141
10/28/2021 00H,138
10/27/2021 23H,141
10/27/2021 22H,139
10/27/2021 21H,140
10/27/2021 20H,143
10/27/2021 19H,140
10/27/2021 18H,144
10/27/2021 17H,144
10/27/2021 16H,138
10/27/2021 15H,143
10/27/2021 14H,149
10/27/2021 13H,145
10/27/2021 12H,145
10/27/2021 11H,143
10/27/2021 10H,144
10/27/2021 09H,142
10/27/2021 08H,136
10/27/2021 07H,123
10/27/2021 06H,127
10/27/2021 05H,129
10/27/2021 04H,139
10/27/2021 03H,139
10/27/2021 02H,138
10/27/2021 01H,136
10/27/2021 00H,144
10/26/2021 23H,147
10/26/2021 22H,148
10/26/2021 21H,147
10/26/2021 20H,148
10/26/2021 19H,148
10/26/2021 18H,154
10/26/2021 17H,148
10/26/2021 16H,148
10/26/2021 15H,146
10/26/2021 14H,145
10/26/2021 13H,139
10/26/2021 12H,141
10/26/2021 11H,141
10/26/2021 10H,145
10/26/2021 09H,146
10/26/2021 08H,142
10/26/2021 07H,725
10/26/2021 06H,745
10/26/2021 05H,145
10/26/2021 04H,147
10/26/2021 03H,149
10/26/2021 02H,152
10/26/2021 01H,154
10/26/2021 00H,798
10/25/2021 23H,149
10/25/2021 22H,149
10/25/2021 21H,150
10/25/2021 20H,155
10/25/2021 19H,156
10/25/2021 18H,157
10/25/2021 17H,153
10/25/2021 16H,164
10/25/2021 15H,168
10/25/2021 14H,159
10/25/2021 13H,151
10/25/2021 12H,146
10/25/2021 11H,150
10/25/2021 10H,145
10/25/2021 09H,146
10/25/2021 08H,143
10/25/2021 07H,141
10/25/2021 06H,147
10/25/2021 05H,147
10/25/2021 04H,151
10/25/2021 03H,151
10/25/2021 02H,152
10/25/2021 01H,151
10/25/2021 00H,151
10/24/2021 23H,150
10/24/2021 22H,153
10/24/2021 21H,153
10/24/2021 20H,151
10/24/2021 19H,159
10/24/2021 18H,160
10/24/2021 17H,172
10/24/2021 16H,170
10/24/2021 15H,2842
10/24/2021 14H,2838
10/24/2021 13H,2837
10/24/2021 12H,2833
10/24/2021 11H,2839
10/24/2021 10H,2752
10/24/2021 09H,2661
10/24/2021 08H,2662
10/24/2021 07H,2745
10/24/2021 06H,2787
10/24/2021 05H,2837
10/24/2021 04H,2844
10/24/2021 03H,2829
10/24/2021 02H,2826
10/24/2021 01H,2839
10/24/2021 00H,2848
10/23/2021 23H,2861
10/23/2021 22H,2836
10/23/2021 21H,2821
10/23/2021 20H,2836
10/23/2021 19H,2835
10/23/2021 18H,2840
10/23/2021 17H,168
10/23/2021 16H,167
10/23/2021 15H,173
10/23/2021 14H,171
10/23/2021 13H,160
10/23/2021 12H,149
10/23/2021 11H,146
10/23/2021 10H,2680
10/23/2021 09H,2614
10/23/2021 08H,2546
10/23/2021 07H,2634
10/23/2021 06H,2544
10/23/2021 05H,2604
10/23/2021 04H,2631
10/23/2021 03H,2748
10/23/2021 02H,2850
10/23/2021 01H,2863
10/23/2021 00H,2869
10/22/2021 23H,2862
10/22/2021 22H,2849
10/22/2021 21H,2839
10/22/2021 20H,2841
10/22/2021 19H,2845
10/22/2021 18H,2853
10/22/2021 17H,2858
10/22/2021 16H,2861
10/22/2021 15H,2849
10/22/2021 14H,2839
10/22/2021 13H,2827
10/22/2021 12H,2803
10/22/2021 11H,2788
10/22/2021 10H,2788
10/22/2021 09H,2714
10/22/2021 08H,2718
10/22/2021 07H,2801
10/22/2021 06H,2793
10/22/2021 05H,2784
10/22/2021 04H,2779
10/22/2021 03H,2798
10/22/2021 02H,2795
10/22/2021 01H,2805
10/22/2021 00H,2806
10/21/2021 23H,2818
10/21/2021 22H,2824
10/21/2021 21H,2827
10/21/2021 20H,2834
10/21/2021 19H,2818
10/21/2021 18H,2828
10/21/2021 17H,2835
10/21/2021 16H,2835
10/21/2021 15H,2835
10/21/2021 14H,2830
10/21/2021 13H,2819
10/21/2021 12H,2814
10/21/2021 11H,2807
10/21/2021 10H,2805
10/21/2021 09H,2723
10/21/2021 08H,2741
10/21/2021 07H,2813
10/21/2021 06H,2821
10/21/2021 05H,2812
10/21/2021 04H,2812
10/21/2021 03H,2798
10/21/2021 02H,2811
10/21/2021 01H,2817
10/21/2021 00H,2817
10/20/2021 23H,2815
10/20/2021 22H,2812
