Net generation from natural gas for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.NG.H
19:17:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.NG.H megawatthours
10/20/2021 20H,6777
10/20/2021 19H,6483
10/20/2021 18H,6318
10/20/2021 17H,6103
10/20/2021 16H,6234
10/20/2021 15H,6242
10/20/2021 14H,6751
10/20/2021 13H,6912
10/20/2021 12H,6757
10/20/2021 11H,6055
10/20/2021 10H,4897
10/20/2021 09H,4530
10/20/2021 08H,4536
10/20/2021 07H,4515
10/20/2021 06H,4398
10/20/2021 05H,4517
10/20/2021 04H,4949
10/20/2021 03H,5235
10/20/2021 02H,6256
10/20/2021 01H,6657
10/20/2021 00H,7221
10/19/2021 23H,6990
10/19/2021 22H,6988
10/19/2021 21H,6562
10/19/2021 20H,5968
10/19/2021 19H,5581
10/19/2021 18H,5510
10/19/2021 17H,5174
10/19/2021 16H,5296
10/19/2021 15H,5595
10/19/2021 14H,6242
10/19/2021 13H,6707
10/19/2021 12H,6460
10/19/2021 11H,5701
10/19/2021 10H,4839
10/19/2021 09H,4528
10/19/2021 08H,4392
10/19/2021 07H,4322
10/19/2021 06H,4703
10/19/2021 05H,5024
10/19/2021 04H,5425
10/19/2021 03H,5749
10/19/2021 02H,6505
10/19/2021 01H,7223
10/19/2021 00H,7316
10/18/2021 23H,7317
10/18/2021 22H,7209
10/18/2021 21H,6825
10/18/2021 20H,6220
10/18/2021 19H,6102
10/18/2021 18H,6551
10/18/2021 17H,6725
10/18/2021 16H,6764
10/18/2021 15H,6423
10/18/2021 14H,6380
10/18/2021 13H,6708
10/18/2021 12H,6714
10/18/2021 11H,5500
10/18/2021 10H,4848
10/18/2021 09H,4296
10/18/2021 08H,4295
10/18/2021 07H,4573
10/18/2021 06H,4720
10/18/2021 05H,4960
10/18/2021 04H,5484
10/18/2021 03H,5320
10/18/2021 02H,5378
10/18/2021 01H,6086
10/18/2021 00H,6401
10/17/2021 23H,6446
10/17/2021 22H,6123
10/17/2021 21H,5540
10/17/2021 20H,5296
10/17/2021 19H,5093
10/17/2021 18H,5008
10/17/2021 17H,4891
10/17/2021 16H,4693
10/17/2021 15H,4585
10/17/2021 14H,4922
10/17/2021 13H,4919
10/17/2021 12H,4692
10/17/2021 11H,4440
10/17/2021 10H,4350
10/17/2021 09H,4270
10/17/2021 08H,4375
10/17/2021 07H,4601
10/17/2021 06H,4961
10/17/2021 05H,5354
10/17/2021 04H,5671
10/17/2021 03H,5816
10/17/2021 02H,6248
10/17/2021 01H,6504
10/17/2021 00H,7262
10/16/2021 23H,8129
10/16/2021 22H,7760
10/16/2021 21H,7232
10/16/2021 20H,6669
10/16/2021 19H,6949
10/16/2021 18H,6856
10/16/2021 17H,6480
10/16/2021 16H,6511
10/16/2021 15H,6569
10/16/2021 14H,6433
10/16/2021 13H,6034
10/16/2021 12H,5801
10/16/2021 11H,5597
10/16/2021 10H,5076
10/16/2021 09H,5256
10/16/2021 08H,5497
10/16/2021 07H,5539
10/16/2021 06H,5636
10/16/2021 05H,6082
10/16/2021 04H,6996
10/16/2021 03H,7059
10/16/2021 02H,7855
10/16/2021 01H,8759
10/16/2021 00H,9484
10/15/2021 23H,9682
10/15/2021 22H,9763
10/15/2021 21H,9827
10/15/2021 20H,9385
10/15/2021 19H,9259
10/15/2021 18H,9196
10/15/2021 17H,8778
10/15/2021 16H,8771
10/15/2021 15H,8483
10/15/2021 14H,8289
10/15/2021 13H,8105
10/15/2021 12H,7812
10/15/2021 11H,7463
10/15/2021 10H,6700
10/15/2021 09H,5896
10/15/2021 08H,5819
10/15/2021 07H,5939
10/15/2021 06H,6376
10/15/2021 05H,6611
10/15/2021 04H,6749
