Net generation from coal for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.COL.H
19:18:39 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.COL.H megawatthours
10/27/2021 05H,9105
10/27/2021 04H,9257
10/27/2021 03H,9493
10/27/2021 02H,9412
10/27/2021 01H,9463
10/27/2021 00H,9289
10/26/2021 23H,9026
10/26/2021 22H,8773
10/26/2021 21H,8824
10/26/2021 20H,8866
10/26/2021 19H,8936
10/26/2021 18H,8961
10/26/2021 17H,9037
10/26/2021 16H,9234
10/26/2021 15H,9602
10/26/2021 14H,9769
10/26/2021 13H,9595
10/26/2021 12H,9439
10/26/2021 11H,9373
10/26/2021 10H,9357
10/26/2021 09H,7327
10/26/2021 08H,7411
10/26/2021 07H,7406
10/26/2021 06H,9365
10/26/2021 05H,9466
10/26/2021 04H,9615
10/26/2021 03H,9645
10/26/2021 02H,9691
10/26/2021 01H,9852
10/26/2021 00H,9872
10/25/2021 23H,9532
10/25/2021 22H,9424
10/25/2021 21H,9271
10/25/2021 20H,9214
10/25/2021 19H,9212
10/25/2021 18H,9435
10/25/2021 17H,9622
10/25/2021 16H,9974
10/25/2021 15H,9960
10/25/2021 14H,9709
10/25/2021 13H,9503
10/25/2021 12H,9362
10/25/2021 11H,9135
10/25/2021 10H,9101
10/25/2021 09H,9179
10/25/2021 08H,9406
10/25/2021 07H,9649
10/25/2021 06H,9812
10/25/2021 05H,9922
10/25/2021 04H,10185
10/25/2021 03H,10493
10/25/2021 02H,11174
10/25/2021 01H,11556
10/25/2021 00H,11263
10/24/2021 23H,10691
10/24/2021 22H,10157
10/24/2021 21H,9921
10/24/2021 20H,9969
10/24/2021 19H,10081
10/24/2021 18H,9831
10/24/2021 17H,9820
10/24/2021 16H,9997
10/24/2021 15H,10473
10/24/2021 14H,10353
10/24/2021 13H,10351
10/24/2021 12H,10257
10/24/2021 11H,10559
10/24/2021 10H,10477
10/24/2021 09H,10475
10/24/2021 08H,10547
10/24/2021 07H,10279
10/24/2021 06H,10277
10/24/2021 05H,10962
10/24/2021 04H,11343
10/24/2021 03H,11402
10/24/2021 02H,11437
10/24/2021 01H,11281
10/24/2021 00H,10856
10/23/2021 23H,10495
10/23/2021 22H,10507
10/23/2021 21H,10428
10/23/2021 20H,10721
10/23/2021 19H,10717
10/23/2021 18H,11035
10/23/2021 17H,11512
10/23/2021 16H,11659
10/23/2021 15H,11404
10/23/2021 14H,11094
10/23/2021 13H,10942
10/23/2021 12H,10731
10/23/2021 11H,10319
10/23/2021 10H,10008
10/23/2021 09H,10151
10/23/2021 08H,10274
10/23/2021 07H,9917
10/23/2021 06H,10054
10/23/2021 05H,10282
10/23/2021 04H,10605
10/23/2021 03H,10759
10/23/2021 02H,10960
10/23/2021 01H,11241
10/23/2021 00H,11186
10/22/2021 23H,11116
10/22/2021 22H,10783
10/22/2021 21H,10832
10/22/2021 20H,10953
10/22/2021 19H,10901
10/22/2021 18H,10619
10/22/2021 17H,10665
10/22/2021 16H,10752
10/22/2021 15H,10707
10/22/2021 14H,10727
10/22/2021 13H,10907
10/22/2021 12H,11573
10/22/2021 11H,11366
10/22/2021 10H,10963
10/22/2021 09H,9928
10/22/2021 08H,9844
10/22/2021 07H,10071
10/22/2021 06H,10612
10/22/2021 05H,11328
10/22/2021 04H,11791
10/22/2021 03H,11955
10/22/2021 02H,11923
10/22/2021 01H,11679
10/22/2021 00H,11367
10/21/2021 23H,10887
10/21/2021 22H,11034
10/21/2021 21H,10712
10/21/2021 20H,10963
10/21/2021 19H,10962
10/21/2021 18H,11045
10/21/2021 17H,11049
10/21/2021 16H,11013
10/21/2021 15H,11148
10/21/2021 14H,11603
10/21/2021 13H,11542
10/21/2021 12H,11026
10/21/2021 11H,10261
10/21/2021 10H,10029
10/21/2021 09H,9988
10/21/2021 08H,10456
10/21/2021 07H,10643
10/21/2021 06H,10805
10/21/2021 05H,11110
10/21/2021 04H,11238
10/21/2021 03H,11220
10/21/2021 02H,11297
10/21/2021 01H,11173
10/21/2021 00H,10941
10/20/2021 23H,10557
10/20/2021 22H,10154
10/20/2021 21H,9823
10/20/2021 20H,9614
10/20/2021 19H,9322
10/20/2021 18H,9378
10/20/2021 17H,9570
10/20/2021 16H,9728
10/20/2021 15H,9999
10/20/2021 14H,10287
10/20/2021 13H,10427
10/20/2021 12H,10200
10/20/2021 11H,10200
10/20/2021 10H,10293
10/20/2021 09H,9971
10/20/2021 08H,9915
10/20/2021 07H,10053
10/20/2021 06H,9987
10/20/2021 05H,10141
10/20/2021 04H,10233
10/20/2021 03H,10365
10/20/2021 02H,10600
10/20/2021 01H,10327
10/20/2021 00H,10268
10/19/2021 23H,9841
10/19/2021 22H,9734
10/19/2021 21H,9849
10/19/2021 20H,9967
10/19/2021 19H,9831
10/19/2021 18H,9957
10/19/2021 17H,10075
10/19/2021 16H,10132
10/19/2021 15H,10051
10/19/2021 14H,10311
10/19/2021 13H,10472
10/19/2021 12H,10411
10/19/2021 11H,10513
10/19/2021 10H,10363
10/19/2021 09H,10011
10/19/2021 08H,10174
10/19/2021 07H,10266
10/19/2021 06H,10006
10/19/2021 05H,10281
10/19/2021 04H,10580
10/19/2021 03H,11033
10/19/2021 02H,11760
10/19/2021 01H,12003
10/19/2021 00H,11732
10/18/2021 23H,11694
10/18/2021 22H,11927
10/18/2021 21H,11831
10/18/2021 20H,11769
10/18/2021 19H,11794
10/18/2021 18H,11409
10/18/2021 17H,11145
10/18/2021 16H,11554
10/18/2021 15H,11777
10/18/2021 14H,11709
10/18/2021 13H,11282
10/18/2021 12H,10935
10/18/2021 11H,11404
10/18/2021 10H,11441
10/18/2021 09H,10747
10/18/2021 08H,10267
10/18/2021 07H,10079
10/18/2021 06H,10140
10/18/2021 05H,10388
10/18/2021 04H,10353
10/18/2021 03H,10517
10/18/2021 02H,10506
10/18/2021 01H,10406
10/18/2021 00H,9179
10/17/2021 23H,8389
10/17/2021 22H,8315
10/17/2021 21H,8544
10/17/2021 20H,8515
10/17/2021 19H,8863
10/17/2021 18H,9384
10/17/2021 17H,10263
10/17/2021 16H,10916
10/17/2021 15H,11012
10/17/2021 14H,11562
10/17/2021 13H,11503
10/17/2021 12H,11264
10/17/2021 11H,10742
10/17/2021 10H,10499
10/17/2021 09H,10376
10/17/2021 08H,10400
10/17/2021 07H,10346
10/17/2021 06H,10844
10/17/2021 05H,11279
10/17/2021 04H,11574
10/17/2021 03H,11883
10/17/2021 02H,12034
10/17/2021 01H,12057
10/17/2021 00H,12014
10/16/2021 23H,11397
10/16/2021 22H,10976
10/16/2021 21H,10567
10/16/2021 20H,10526
10/16/2021 19H,10531
