Net generation from nuclear for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.NUC.H
19:18:59 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.NUC.H megawatthours
10/12/2021 01H,1158
10/12/2021 00H,1157
10/11/2021 23H,1157
10/11/2021 22H,1156
10/11/2021 21H,1158
10/11/2021 20H,1158
10/11/2021 19H,1159
10/11/2021 18H,1158
10/11/2021 17H,1159
10/11/2021 16H,1160
10/11/2021 15H,1159
10/11/2021 14H,1160
10/11/2021 13H,1161
10/11/2021 12H,1161
10/11/2021 11H,1160
10/11/2021 10H,1161
10/11/2021 09H,1160
10/11/2021 08H,1160
10/11/2021 07H,1161
10/11/2021 06H,1161
10/11/2021 05H,1159
10/11/2021 04H,1158
10/11/2021 03H,1156
10/11/2021 02H,1155
10/11/2021 01H,1157
10/11/2021 00H,1155
10/10/2021 23H,1156
10/10/2021 22H,1156
10/10/2021 21H,1154
10/10/2021 20H,1153
10/10/2021 19H,1152
10/10/2021 18H,1155
10/10/2021 17H,1155
10/10/2021 16H,1154
10/10/2021 15H,1154
10/10/2021 14H,1152
10/10/2021 13H,1152
10/10/2021 12H,1151
10/10/2021 11H,1153
10/10/2021 10H,1155
10/10/2021 09H,1153
10/10/2021 08H,1155
10/10/2021 07H,1154
10/10/2021 06H,1156
10/10/2021 05H,1155
10/10/2021 04H,1155
10/10/2021 03H,1154
10/10/2021 02H,1153
10/10/2021 01H,1152
10/10/2021 00H,1153
10/9/2021 23H,1155
10/9/2021 22H,1155
10/9/2021 21H,1155
10/9/2021 20H,1157
10/9/2021 19H,1158
10/9/2021 18H,1159
10/9/2021 17H,1162
10/9/2021 16H,1163
10/9/2021 15H,1164
10/9/2021 14H,1162
10/9/2021 13H,1161
10/9/2021 12H,1163
10/9/2021 11H,1163
10/9/2021 10H,1164
10/9/2021 09H,1164
10/9/2021 08H,1164
10/9/2021 07H,1162
10/9/2021 06H,1163
10/9/2021 05H,1160
10/9/2021 04H,1159
10/9/2021 03H,1159
10/9/2021 02H,1158
10/9/2021 01H,1159
10/9/2021 00H,1158
10/8/2021 23H,1160
10/8/2021 22H,1160
10/8/2021 21H,1160
10/8/2021 20H,1161
10/8/2021 19H,1163
10/8/2021 18H,1164
10/8/2021 17H,1164
10/8/2021 16H,1164
10/8/2021 15H,1165
10/8/2021 14H,1164
10/8/2021 13H,1163
10/8/2021 12H,1163
10/8/2021 11H,1163
10/8/2021 10H,1163
10/8/2021 09H,1164
10/8/2021 08H,1163
10/8/2021 07H,1163
10/8/2021 06H,1163
10/8/2021 05H,1162
10/8/2021 04H,1160
10/8/2021 03H,1159
