Net generation from other for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.OTH.H
19:19:06 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.OTH.H megawatthours
10/26/2021 11H,807
10/26/2021 10H,786
10/26/2021 09H,779
10/26/2021 08H,860
10/26/2021 07H,916
10/26/2021 06H,937
10/26/2021 05H,949
10/26/2021 04H,962
10/26/2021 03H,950
10/26/2021 02H,950
10/26/2021 01H,945
10/26/2021 00H,954
10/25/2021 23H,946
10/25/2021 22H,944
10/25/2021 21H,952
10/25/2021 20H,951
10/25/2021 19H,932
10/25/2021 18H,929
10/25/2021 17H,925
10/25/2021 16H,938
10/25/2021 15H,929
10/25/2021 14H,924
10/25/2021 13H,924
10/25/2021 12H,932
10/25/2021 11H,914
10/25/2021 10H,918
10/25/2021 09H,904
10/25/2021 08H,880
10/25/2021 07H,852
10/25/2021 06H,864
10/25/2021 05H,863
10/25/2021 04H,850
10/25/2021 03H,852
10/25/2021 02H,845
10/25/2021 01H,844
10/25/2021 00H,836
10/24/2021 23H,853
10/24/2021 22H,850
10/24/2021 21H,890
10/24/2021 20H,902
10/24/2021 19H,899
10/24/2021 18H,918
10/24/2021 17H,938
10/24/2021 16H,937
10/24/2021 15H,938
10/24/2021 14H,915
10/24/2021 13H,929
10/24/2021 12H,927
10/24/2021 11H,935
10/24/2021 10H,934
10/24/2021 09H,940
10/24/2021 08H,948
10/24/2021 07H,934
10/24/2021 06H,932
10/24/2021 05H,933
10/24/2021 04H,940
10/24/2021 03H,950
10/24/2021 02H,945
10/24/2021 01H,940
10/24/2021 00H,936
10/23/2021 23H,953
10/23/2021 22H,959
10/23/2021 21H,991
10/23/2021 20H,975
10/23/2021 19H,978
10/23/2021 18H,995
10/23/2021 17H,996
10/23/2021 16H,983
10/23/2021 15H,988
10/23/2021 14H,978
10/23/2021 13H,968
10/23/2021 12H,966
10/23/2021 11H,957
10/23/2021 10H,948
10/23/2021 09H,943
10/23/2021 08H,940
10/23/2021 07H,937
10/23/2021 06H,939
10/23/2021 05H,948
10/23/2021 04H,943
10/23/2021 03H,933
10/23/2021 02H,931
10/23/2021 01H,927
10/23/2021 00H,984
10/22/2021 23H,993
10/22/2021 22H,1003
10/22/2021 21H,973
10/22/2021 20H,924
10/22/2021 19H,947
10/22/2021 18H,942
10/22/2021 17H,940
10/22/2021 16H,940
10/22/2021 15H,924
10/22/2021 14H,935
10/22/2021 13H,918
10/22/2021 12H,905
10/22/2021 11H,909
10/22/2021 10H,912
10/22/2021 09H,902
10/22/2021 08H,900
10/22/2021 07H,909
10/22/2021 06H,899
10/22/2021 05H,921
10/22/2021 04H,913
10/22/2021 03H,905
10/22/2021 02H,885
10/22/2021 01H,870
10/22/2021 00H,891
10/21/2021 23H,897
10/21/2021 22H,899
10/21/2021 21H,911
10/21/2021 20H,929
10/21/2021 19H,964
10/21/2021 18H,982
10/21/2021 17H,970
10/21/2021 16H,948
10/21/2021 15H,921
10/21/2021 14H,919
10/21/2021 13H,915
10/21/2021 12H,911
10/21/2021 11H,922
10/21/2021 10H,912
10/21/2021 09H,919
10/21/2021 08H,917
10/21/2021 07H,898
10/21/2021 06H,902
10/21/2021 05H,913
10/21/2021 04H,917
10/21/2021 03H,900
10/21/2021 02H,903
10/21/2021 01H,880
10/21/2021 00H,869
10/20/2021 23H,874
10/20/2021 22H,879
10/20/2021 21H,885
10/20/2021 20H,898
10/20/2021 19H,897
10/20/2021 18H,906
10/20/2021 17H,948
10/20/2021 16H,928
10/20/2021 15H,919
10/20/2021 14H,920
10/20/2021 13H,902
10/20/2021 12H,889
10/20/2021 11H,896
10/20/2021 10H,902
10/20/2021 09H,904
10/20/2021 08H,904
10/20/2021 07H,908
10/20/2021 06H,921
10/20/2021 05H,947
10/20/2021 04H,939
10/20/2021 03H,944
10/20/2021 02H,943
10/20/2021 01H,931
10/20/2021 00H,920
10/19/2021 23H,966
10/19/2021 22H,960
10/19/2021 21H,992
10/19/2021 20H,989
10/19/2021 19H,1033
10/19/2021 18H,1037
10/19/2021 17H,1038
10/19/2021 16H,1016
10/19/2021 15H,1014
10/19/2021 14H,1004
10/19/2021 13H,996
10/19/2021 12H,987
10/19/2021 11H,985
10/19/2021 10H,978
10/19/2021 09H,979
10/19/2021 08H,971
10/19/2021 07H,980
10/19/2021 06H,976
10/19/2021 05H,993
