Net generation from nuclear for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.NUC.H
19:12:51 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.NUC.H megawatthours
11/8/2021 17H,29875
11/8/2021 16H,29897
11/8/2021 15H,29885
11/8/2021 14H,29918
11/8/2021 13H,29941
11/8/2021 12H,29942
11/8/2021 11H,29926
11/8/2021 10H,29948
11/8/2021 09H,29944
11/8/2021 08H,29942
11/8/2021 07H,29940
11/8/2021 06H,29912
11/8/2021 05H,30072
11/8/2021 04H,28756
11/8/2021 03H,30185
11/8/2021 02H,30258
11/8/2021 01H,30496
11/8/2021 00H,30466
11/7/2021 23H,30413
11/7/2021 22H,30236
11/7/2021 21H,30098
11/7/2021 20H,29937
11/7/2021 19H,29885
11/7/2021 18H,29912
11/7/2021 17H,29845
11/7/2021 16H,29622
11/7/2021 15H,29645
11/7/2021 14H,29568
11/7/2021 13H,29563
11/7/2021 12H,29582
11/7/2021 11H,29576
11/7/2021 10H,29536
11/7/2021 09H,29360
11/7/2021 08H,29187
11/7/2021 07H,29030
11/7/2021 06H,28955
11/7/2021 05H,28771
11/7/2021 04H,28607
11/7/2021 03H,28750
11/7/2021 02H,28795
11/7/2021 01H,28807
11/7/2021 00H,28937
11/6/2021 23H,28929
11/6/2021 22H,28930
11/6/2021 21H,28968
11/6/2021 20H,28949
11/6/2021 19H,28970
11/6/2021 18H,28984
11/6/2021 17H,28844
11/6/2021 16H,28849
11/6/2021 15H,28840
11/6/2021 14H,28757
11/6/2021 13H,28749
11/6/2021 12H,28721
11/6/2021 11H,28689
11/6/2021 10H,28710
11/6/2021 09H,28676
11/6/2021 08H,28660
11/6/2021 07H,28604
11/6/2021 06H,28574
11/6/2021 05H,28653
11/6/2021 04H,27986
11/6/2021 03H,28529
11/6/2021 02H,28596
11/6/2021 01H,28755
11/6/2021 00H,28709
11/5/2021 23H,28612
11/5/2021 22H,28671
11/5/2021 21H,28717
11/5/2021 20H,28684
11/5/2021 19H,28700
11/5/2021 18H,28556
11/5/2021 17H,28504
11/5/2021 16H,28413
11/5/2021 15H,28321
11/5/2021 14H,28106
11/5/2021 13H,28048
11/5/2021 12H,28050
11/5/2021 11H,28050
11/5/2021 10H,28052
11/5/2021 09H,28044
11/5/2021 08H,28036
11/5/2021 07H,27865
11/5/2021 06H,27844
11/5/2021 05H,27893
11/5/2021 04H,28151
11/5/2021 03H,28152
11/5/2021 02H,28108
11/5/2021 01H,27999
11/5/2021 00H,27899
11/4/2021 23H,27709
11/4/2021 22H,27636
11/4/2021 21H,27616
11/4/2021 20H,27572
11/4/2021 19H,27581
11/4/2021 18H,27681
11/4/2021 17H,27849
11/4/2021 16H,27983
11/4/2021 15H,28131
11/4/2021 14H,28206
11/4/2021 13H,28204
11/4/2021 12H,28219
11/4/2021 11H,28177
11/4/2021 10H,28142
11/4/2021 09H,28050
11/4/2021 08H,28031
11/4/2021 07H,28182
11/4/2021 06H,28164
11/4/2021 05H,28143
11/4/2021 04H,27649
11/4/2021 03H,28148
11/4/2021 02H,28121
11/4/2021 01H,28118
11/4/2021 00H,28115
11/3/2021 23H,28120
11/3/2021 22H,28109
11/3/2021 21H,28126
11/3/2021 20H,28106
11/3/2021 19H,28096
11/3/2021 18H,28071
11/3/2021 17H,28082
11/3/2021 16H,28084
11/3/2021 15H,28098
11/3/2021 14H,28148
11/3/2021 13H,28148
11/3/2021 12H,28150
11/3/2021 11H,28158
11/3/2021 10H,28090
11/3/2021 09H,28030
11/3/2021 08H,27927
11/3/2021 07H,27838
11/3/2021 06H,27818
11/3/2021 05H,27727
11/3/2021 04H,27170
11/3/2021 03H,27542
11/3/2021 02H,27504
11/3/2021 01H,27399
11/3/2021 00H,27325
11/2/2021 23H,27295
11/2/2021 22H,27302
11/2/2021 21H,27200
11/2/2021 20H,27181
11/2/2021 19H,27194
11/2/2021 18H,27196
11/2/2021 17H,27203
11/2/2021 16H,27193
11/2/2021 15H,27199
11/2/2021 14H,27182
11/2/2021 13H,27203
11/2/2021 12H,27199
11/2/2021 11H,27213
11/2/2021 10H,27195
11/2/2021 09H,27200
11/2/2021 08H,27195
11/2/2021 07H,27194
11/2/2021 06H,27191
11/2/2021 05H,27176
11/2/2021 04H,27136
11/2/2021 03H,27164
11/2/2021 02H,27173
11/2/2021 01H,27153
11/2/2021 00H,27152
11/1/2021 23H,27021
11/1/2021 22H,27004
11/1/2021 21H,27027
11/1/2021 20H,27134
11/1/2021 19H,27145
11/1/2021 18H,27154
11/1/2021 17H,27147
11/1/2021 16H,27157
11/1/2021 15H,27159
11/1/2021 14H,27148
11/1/2021 13H,27149
11/1/2021 12H,27149
11/1/2021 11H,27143
11/1/2021 10H,27176
11/1/2021 09H,27157
11/1/2021 08H,27176
11/1/2021 07H,27159
11/1/2021 06H,27152
11/1/2021 05H,27137
11/1/2021 04H,26580
11/1/2021 03H,27112
11/1/2021 02H,27120
11/1/2021 01H,27107
11/1/2021 00H,27095
10/31/2021 23H,27076
10/31/2021 22H,26961
10/31/2021 21H,26964
10/31/2021 20H,27071
10/31/2021 19H,27084
10/31/2021 18H,27103
10/31/2021 17H,27092
10/31/2021 16H,27112
10/31/2021 15H,27110
10/31/2021 14H,27083
10/31/2021 13H,26995
