Net generation from coal for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.COL.H
19:12:31 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.COL.H megawatthours
10/13/2021 10H,15868
10/13/2021 09H,14680
10/13/2021 08H,14000
10/13/2021 07H,14087
10/13/2021 06H,14499
10/13/2021 05H,15111
10/13/2021 04H,15354
10/13/2021 03H,17928
10/13/2021 02H,18419
10/13/2021 01H,18833
10/13/2021 00H,18905
10/12/2021 23H,19273
10/12/2021 22H,19249
10/12/2021 21H,19038
10/12/2021 20H,18985
10/12/2021 19H,19484
10/12/2021 18H,19258
10/12/2021 17H,18846
10/12/2021 16H,19001
10/12/2021 15H,18669
10/12/2021 14H,18198
10/12/2021 13H,17896
10/12/2021 12H,17741
10/12/2021 11H,17708
10/12/2021 10H,16912
10/12/2021 09H,15132
10/12/2021 08H,15000
10/12/2021 07H,14926
10/12/2021 06H,14998
10/12/2021 05H,15051
10/12/2021 04H,13271
10/12/2021 03H,16723
10/12/2021 02H,17184
10/12/2021 01H,17508
10/12/2021 00H,17798
10/11/2021 23H,17673
10/11/2021 22H,17405
10/11/2021 21H,17737
10/11/2021 20H,17732
10/11/2021 19H,17771
10/11/2021 18H,18009
10/11/2021 17H,17402
10/11/2021 16H,16888
10/11/2021 15H,16961
10/11/2021 14H,16443
10/11/2021 13H,16206
10/11/2021 12H,15907
10/11/2021 11H,15094
10/11/2021 10H,14486
10/11/2021 09H,13477
10/11/2021 08H,13442
10/11/2021 07H,13309
10/11/2021 06H,13056
10/11/2021 05H,12922
10/11/2021 04H,12879
10/11/2021 03H,13698
10/11/2021 02H,13990
10/11/2021 01H,14129
10/11/2021 00H,14215
10/10/2021 23H,14308
10/10/2021 22H,14219
10/10/2021 21H,13966
10/10/2021 20H,13947
10/10/2021 19H,13858
10/10/2021 18H,13696
10/10/2021 17H,13542
10/10/2021 16H,13312
10/10/2021 15H,13013
10/10/2021 14H,13140
10/10/2021 13H,12944
10/10/2021 12H,12683
10/10/2021 11H,12499
10/10/2021 10H,12407
10/10/2021 09H,12347
10/10/2021 08H,12343
10/10/2021 07H,12474
10/10/2021 06H,12722
10/10/2021 05H,12959
10/10/2021 04H,14493
10/10/2021 03H,13619
10/10/2021 02H,13760
10/10/2021 01H,13777
10/10/2021 00H,14025
10/9/2021 23H,14054
10/9/2021 22H,14072
10/9/2021 21H,14246
10/9/2021 20H,14010
10/9/2021 19H,13876
10/9/2021 18H,13961
10/9/2021 17H,14318
10/9/2021 16H,14273
10/9/2021 15H,14104
10/9/2021 14H,14012
10/9/2021 13H,13816
10/9/2021 12H,13710
10/9/2021 11H,13592
10/9/2021 10H,13268
10/9/2021 09H,13244
10/9/2021 08H,13195
10/9/2021 07H,13480
10/9/2021 06H,13689
10/9/2021 05H,14067
10/9/2021 04H,15163
10/9/2021 03H,16039
10/9/2021 02H,16552
10/9/2021 01H,16507
10/9/2021 00H,16687
10/8/2021 23H,16692
10/8/2021 22H,16766
10/8/2021 21H,16800
10/8/2021 20H,16594
10/8/2021 19H,16640
10/8/2021 18H,16640
10/8/2021 17H,16606
10/8/2021 16H,16605
10/8/2021 15H,16432
10/8/2021 14H,16204
10/8/2021 13H,15956
10/8/2021 12H,15903
10/8/2021 11H,15150
10/8/2021 10H,15106
10/8/2021 09H,14791
10/8/2021 08H,14437
10/8/2021 07H,14417
10/8/2021 06H,15080
10/8/2021 05H,15396
10/8/2021 04H,15598
10/8/2021 03H,15725
10/8/2021 02H,16229
10/8/2021 01H,16449
10/8/2021 00H,16200
10/7/2021 23H,16024
10/7/2021 22H,16416
10/7/2021 21H,16455
10/7/2021 20H,16458
10/7/2021 19H,16340
10/7/2021 18H,16047
10/7/2021 17H,15941
10/7/2021 16H,15835
10/7/2021 15H,15850
10/7/2021 14H,16041
10/7/2021 13H,15869
10/7/2021 12H,15556
10/7/2021 11H,15258
10/7/2021 10H,14459
10/7/2021 09H,13937
