Net generation from coal for California (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390106&sdid=EBA.CAL-ALL.NG.COL.H
19:04:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.NG.COL.H megawatthours
10/24/2021 08H,574
10/24/2021 07H,573
10/24/2021 06H,576
10/24/2021 05H,580
10/24/2021 04H,577
10/24/2021 03H,576
10/24/2021 02H,577
10/24/2021 01H,577
10/24/2021 00H,578
10/23/2021 23H,578
10/23/2021 22H,577
10/23/2021 21H,576
10/23/2021 20H,576
10/23/2021 19H,574
10/23/2021 18H,577
10/23/2021 17H,575
10/23/2021 16H,576
10/23/2021 15H,577
10/23/2021 14H,576
10/23/2021 13H,577
10/23/2021 12H,575
10/23/2021 11H,575
10/23/2021 10H,577
10/23/2021 09H,573
10/23/2021 08H,569
10/23/2021 07H,565
10/23/2021 06H,565
10/23/2021 05H,566
10/23/2021 04H,565
10/23/2021 03H,563
10/23/2021 02H,565
10/23/2021 01H,568
10/23/2021 00H,568
10/22/2021 23H,567
10/22/2021 22H,566
10/22/2021 21H,566
10/22/2021 20H,564
10/22/2021 19H,566
10/22/2021 18H,565
10/22/2021 17H,567
10/22/2021 16H,565
10/22/2021 15H,566
10/22/2021 14H,565
10/22/2021 13H,565
10/22/2021 12H,567
10/22/2021 11H,565
10/22/2021 10H,565
10/22/2021 09H,567
10/22/2021 08H,569
10/22/2021 07H,574
10/22/2021 06H,572
10/22/2021 05H,571
10/22/2021 04H,572
10/22/2021 03H,571
10/22/2021 02H,571
10/22/2021 01H,571
10/22/2021 00H,489
10/21/2021 23H,371
10/21/2021 22H,284
10/21/2021 21H,277
10/21/2021 20H,276
10/21/2021 19H,278
10/21/2021 18H,276
10/21/2021 17H,274
10/21/2021 16H,275
10/21/2021 15H,497
10/21/2021 14H,578
10/21/2021 13H,578
10/21/2021 12H,578
10/21/2021 11H,577
10/21/2021 10H,575
10/21/2021 09H,577
10/21/2021 08H,577
10/21/2021 07H,575
10/21/2021 06H,573
10/21/2021 05H,574
10/21/2021 04H,575
10/21/2021 03H,574
10/21/2021 02H,574
10/21/2021 01H,576
10/21/2021 00H,576
10/20/2021 23H,574
10/20/2021 22H,571
10/20/2021 21H,574
10/20/2021 20H,573
10/20/2021 19H,572
10/20/2021 18H,571
10/20/2021 17H,573
10/20/2021 16H,575
10/20/2021 15H,572
10/20/2021 14H,571
10/20/2021 13H,570
10/20/2021 12H,572
10/20/2021 11H,569
10/20/2021 10H,569
10/20/2021 09H,569
10/20/2021 08H,568
10/20/2021 07H,569
10/20/2021 06H,568
10/20/2021 05H,569
10/20/2021 04H,568
10/20/2021 03H,567
10/20/2021 02H,567
10/20/2021 01H,569
10/20/2021 00H,569
10/19/2021 23H,568
