Net generation from natural gas for Florida (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390109&sdid=EBA.FLA-ALL.NG.NG.H
19:11:22 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.FLA-ALL.NG.NG.H megawatthours
11/2/2021 04H,13965
11/2/2021 03H,15885
11/2/2021 02H,17742
11/2/2021 01H,19355
11/2/2021 00H,20798
11/1/2021 23H,20450
11/1/2021 22H,19912
11/1/2021 21H,18565
11/1/2021 20H,17063
11/1/2021 19H,15819
11/1/2021 18H,14820
11/1/2021 17H,14006
11/1/2021 16H,13258
11/1/2021 15H,13098
11/1/2021 14H,12949
11/1/2021 13H,13536
11/1/2021 12H,13597
11/1/2021 11H,12335
11/1/2021 10H,10951
11/1/2021 09H,10199
11/1/2021 08H,10174
11/1/2021 07H,10394
11/1/2021 06H,10972
11/1/2021 05H,11981
11/1/2021 04H,13489
11/1/2021 03H,15226
11/1/2021 02H,16594
11/1/2021 01H,17209
11/1/2021 00H,17859
10/31/2021 23H,18285
10/31/2021 22H,18928
