Net generation from hydro for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.WAT.H
19:18:46 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.WAT.H megawatthours
10/17/2021 16H,9455
10/17/2021 15H,8403
10/17/2021 14H,7795
10/17/2021 13H,7322
10/17/2021 12H,6990
10/17/2021 11H,6699
10/17/2021 10H,6746
10/17/2021 09H,7000
10/17/2021 08H,7350
10/17/2021 07H,7391
10/17/2021 06H,8394
10/17/2021 05H,9670
10/17/2021 04H,11046
10/17/2021 03H,11480
10/17/2021 02H,11637
10/17/2021 01H,10706
10/17/2021 00H,8958
10/16/2021 23H,7958
10/16/2021 22H,7973
10/16/2021 21H,8095
10/16/2021 20H,8319
10/16/2021 19H,8762
10/16/2021 18H,8907
10/16/2021 17H,9363
10/16/2021 16H,9296
10/16/2021 15H,9375
10/16/2021 14H,8560
10/16/2021 13H,7637
10/16/2021 12H,7350
10/16/2021 11H,7242
10/16/2021 10H,7316
10/16/2021 09H,7258
10/16/2021 08H,7616
10/16/2021 07H,8183
10/16/2021 06H,9250
10/16/2021 05H,10881
10/16/2021 04H,11634
10/16/2021 03H,11993
10/16/2021 02H,12300
10/16/2021 01H,11726
10/16/2021 00H,9885
10/15/2021 23H,8912
10/15/2021 22H,8570
10/15/2021 21H,8815
10/15/2021 20H,9231
10/15/2021 19H,9874
10/15/2021 18H,10309
10/15/2021 17H,10966
10/15/2021 16H,11188
10/15/2021 15H,11662
10/15/2021 14H,10884
10/15/2021 13H,8888
10/15/2021 12H,7491
10/15/2021 11H,7107
10/15/2021 10H,7109
10/15/2021 09H,6850
10/15/2021 08H,6828
10/15/2021 07H,7750
10/15/2021 06H,8548
10/15/2021 05H,9751
10/15/2021 04H,10545
10/15/2021 03H,11493
10/15/2021 02H,12067
10/15/2021 01H,11017
10/15/2021 00H,8916
10/14/2021 23H,7673
10/14/2021 22H,7326
10/14/2021 21H,7656
10/14/2021 20H,8350
10/14/2021 19H,8890
10/14/2021 18H,9752
10/14/2021 17H,10253
10/14/2021 16H,10804
10/14/2021 15H,11553
10/14/2021 14H,10834
10/14/2021 13H,8739
10/14/2021 12H,7278
10/14/2021 11H,6608
10/14/2021 10H,6490
10/14/2021 09H,6439
10/14/2021 08H,6790
10/14/2021 07H,7586
10/14/2021 06H,8443
10/14/2021 05H,10713
10/14/2021 04H,11276
10/14/2021 03H,12102
10/14/2021 02H,11939
10/14/2021 01H,11345
10/14/2021 00H,9334
10/13/2021 23H,8710
10/13/2021 22H,8728
10/13/2021 21H,9229
10/13/2021 20H,9270
10/13/2021 19H,10085
10/13/2021 18H,11030
10/13/2021 17H,11816
10/13/2021 16H,12215
10/13/2021 15H,12610
10/13/2021 14H,12032
10/13/2021 13H,10060
10/13/2021 12H,8844
10/13/2021 11H,8227
10/13/2021 10H,8508
10/13/2021 09H,8638
10/13/2021 08H,8435
10/13/2021 07H,8742
10/13/2021 06H,9714
10/13/2021 05H,12134
10/13/2021 04H,13355
10/13/2021 03H,14289
10/13/2021 02H,14395
10/13/2021 01H,13641
10/13/2021 00H,11881
10/12/2021 23H,11072
10/12/2021 22H,11190
10/12/2021 21H,11256
10/12/2021 20H,11539
10/12/2021 19H,12177
10/12/2021 18H,12703
10/12/2021 17H,13644
10/12/2021 16H,14415
10/12/2021 15H,14847
10/12/2021 14H,13525
10/12/2021 13H,10245
10/12/2021 12H,8272
10/12/2021 11H,7683
10/12/2021 10H,7687
10/12/2021 09H,7684
10/12/2021 08H,7903
10/12/2021 07H,9011
10/12/2021 06H,9857
10/12/2021 05H,10485
10/12/2021 04H,11450
10/12/2021 03H,12097
10/12/2021 02H,12086
10/12/2021 01H,11272
10/12/2021 00H,10095
10/11/2021 23H,9516
10/11/2021 22H,9686
10/11/2021 21H,9665
10/11/2021 20H,10495
10/11/2021 19H,10755
10/11/2021 18H,10665
10/11/2021 17H,11131
10/11/2021 16H,11253
10/11/2021 15H,11779
10/11/2021 14H,11279
10/11/2021 13H,9350
10/11/2021 12H,7777
10/11/2021 11H,7320
10/11/2021 10H,6963
10/11/2021 09H,6734
10/11/2021 08H,6809
10/11/2021 07H,7278
10/11/2021 06H,7905
10/11/2021 05H,8737
10/11/2021 04H,9714
10/11/2021 03H,10147
10/11/2021 02H,9853
10/11/2021 01H,8945
10/11/2021 00H,8200
10/10/2021 23H,7734
10/10/2021 22H,7655
10/10/2021 21H,7890
10/10/2021 20H,8194
10/10/2021 19H,8364
10/10/2021 18H,8598
10/10/2021 17H,8603
10/10/2021 16H,8252
10/10/2021 15H,8164
10/10/2021 14H,7693
10/10/2021 13H,7218
10/10/2021 12H,6801
10/10/2021 11H,6527
10/10/2021 10H,6746
10/10/2021 09H,6797
10/10/2021 08H,7089
10/10/2021 07H,7486
10/10/2021 06H,8151
10/10/2021 05H,9187
10/10/2021 04H,10505
10/10/2021 03H,10951
10/10/2021 02H,10969
10/10/2021 01H,9541
10/10/2021 00H,8194
10/9/2021 23H,7688
10/9/2021 22H,7764
10/9/2021 21H,7529
10/9/2021 20H,7365
10/9/2021 19H,7464
10/9/2021 18H,7768
10/9/2021 17H,8557
10/9/2021 16H,9198
10/9/2021 15H,8876
10/9/2021 14H,8454
10/9/2021 13H,7676
10/9/2021 12H,6833
10/9/2021 11H,6788
10/9/2021 10H,6796
10/9/2021 09H,7033
10/9/2021 08H,7750
10/9/2021 07H,7584
10/9/2021 06H,8009
10/9/2021 05H,10184
10/9/2021 04H,11319
10/9/2021 03H,12199
10/9/2021 02H,12391
10/9/2021 01H,12023
10/9/2021 00H,10313
10/8/2021 23H,9990
10/8/2021 22H,9860
10/8/2021 21H,10314
10/8/2021 20H,10844
10/8/2021 19H,11681
10/8/2021 18H,12369
10/8/2021 17H,12809
10/8/2021 16H,14365
10/8/2021 15H,14716
10/8/2021 14H,13591
10/8/2021 13H,10251
10/8/2021 12H,9207
10/8/2021 11H,8721
10/8/2021 10H,8739
10/8/2021 09H,8706
10/8/2021 08H,8763
10/8/2021 07H,9219
