Net generation from nuclear for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.NUC.H
19:02:21 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.NUC.H megawatthours
10/12/2021 15H,76510
10/12/2021 14H,76642
10/12/2021 13H,76678
10/12/2021 12H,76684
10/12/2021 11H,76673
10/12/2021 10H,76689
10/12/2021 09H,76651
10/12/2021 08H,76624
10/12/2021 07H,76598
10/12/2021 06H,76580
10/12/2021 05H,76552
10/12/2021 04H,77593
10/12/2021 03H,76483
10/12/2021 02H,76468
10/12/2021 01H,76408
10/12/2021 00H,76381
10/11/2021 23H,76410
10/11/2021 22H,76319
10/11/2021 21H,76244
10/11/2021 20H,76218
10/11/2021 19H,76232
10/11/2021 18H,76291
10/11/2021 17H,76300
10/11/2021 16H,77460
10/11/2021 15H,77356
10/11/2021 14H,77324
10/11/2021 13H,77304
10/11/2021 12H,77291
10/11/2021 11H,77258
10/11/2021 10H,77256
10/11/2021 09H,77204
10/11/2021 08H,77087
10/11/2021 07H,76879
10/11/2021 06H,76734
10/11/2021 05H,76678
10/11/2021 04H,76439
10/11/2021 03H,76564
10/11/2021 02H,76461
10/11/2021 01H,76450
10/11/2021 00H,76561
10/10/2021 23H,76523
10/10/2021 22H,76547
10/10/2021 21H,76534
10/10/2021 20H,76550
10/10/2021 19H,76555
10/10/2021 18H,76581
10/10/2021 17H,76573
10/10/2021 16H,76610
10/10/2021 15H,76580
10/10/2021 14H,76608
10/10/2021 13H,76549
10/10/2021 12H,76557
10/10/2021 11H,76543
10/10/2021 10H,76523
10/10/2021 09H,76478
10/10/2021 08H,76419
10/10/2021 07H,76237
10/10/2021 06H,76062
10/10/2021 05H,75818
10/10/2021 04H,76092
10/10/2021 03H,75594
10/10/2021 02H,75515
10/10/2021 01H,75465
10/10/2021 00H,75541
10/9/2021 23H,75557
10/9/2021 22H,75498
10/9/2021 21H,75463
10/9/2021 20H,75401
10/9/2021 19H,75198
10/9/2021 18H,75155
10/9/2021 17H,75150
10/9/2021 16H,75148
10/9/2021 15H,75106
10/9/2021 14H,75083
10/9/2021 13H,75141
10/9/2021 12H,75137
10/9/2021 11H,75008
10/9/2021 10H,75131
10/9/2021 09H,75396
10/9/2021 08H,75786
10/9/2021 07H,76509
10/9/2021 06H,76774
10/9/2021 05H,77010
10/9/2021 04H,77972
10/9/2021 03H,78832
10/9/2021 02H,79565
10/9/2021 01H,80084
10/9/2021 00H,80114
10/8/2021 23H,80162
10/8/2021 22H,80184
10/8/2021 21H,80183
10/8/2021 20H,80214
10/8/2021 19H,80179
10/8/2021 18H,80257
10/8/2021 17H,80345
10/8/2021 16H,80370
10/8/2021 15H,80377
10/8/2021 14H,80548
10/8/2021 13H,80654
10/8/2021 12H,80617
10/8/2021 11H,80643
10/8/2021 10H,80696
10/8/2021 09H,80701
10/8/2021 08H,80744
10/8/2021 07H,80783
10/8/2021 06H,80672
10/8/2021 05H,80753
10/8/2021 04H,80945
10/8/2021 03H,80907
10/8/2021 02H,80931
10/8/2021 01H,80995
10/8/2021 00H,81246
10/7/2021 23H,81343
10/7/2021 22H,81395
10/7/2021 21H,81358
10/7/2021 20H,81386
10/7/2021 19H,81479
10/7/2021 18H,81517
10/7/2021 17H,81375
10/7/2021 16H,81439
10/7/2021 15H,81513
10/7/2021 14H,81545
10/7/2021 13H,81576
10/7/2021 12H,81586
10/7/2021 11H,81594
10/7/2021 10H,81617
10/7/2021 09H,81596
