Net generation from other for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.OTH.H
19:02:28 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.OTH.H megawatthours
10/19/2021 23H,13029
10/19/2021 22H,12815
10/19/2021 21H,12853
10/19/2021 20H,12766
10/19/2021 19H,12660
10/19/2021 18H,12744
10/19/2021 17H,12798
10/19/2021 16H,13059
10/19/2021 15H,13136
10/19/2021 14H,13270
10/19/2021 13H,12495
10/19/2021 12H,12268
10/19/2021 11H,12056
10/19/2021 10H,11875
10/19/2021 09H,10402
10/19/2021 08H,10123
10/19/2021 07H,10203
10/19/2021 06H,10376
10/19/2021 05H,11080
10/19/2021 04H,11603
10/19/2021 03H,12868
10/19/2021 02H,13066
10/19/2021 01H,13782
10/19/2021 00H,13492
10/18/2021 23H,13078
10/18/2021 22H,12908
10/18/2021 21H,12875
10/18/2021 20H,12676
10/18/2021 19H,11934
10/18/2021 18H,12899
10/18/2021 17H,12887
10/18/2021 16H,13335
10/18/2021 15H,13343
10/18/2021 14H,13369
10/18/2021 13H,12172
10/18/2021 12H,11829
10/18/2021 11H,11761
10/18/2021 10H,11328
10/18/2021 09H,10736
10/18/2021 08H,10355
10/18/2021 07H,10285
10/18/2021 06H,10575
10/18/2021 05H,10713
10/18/2021 04H,11310
10/18/2021 03H,11920
10/18/2021 02H,12294
10/18/2021 01H,12832
10/18/2021 00H,11993
10/17/2021 23H,11583
10/17/2021 22H,11334
10/17/2021 21H,11706
10/17/2021 20H,10904
10/17/2021 19H,10818
10/17/2021 18H,10876
10/17/2021 17H,10912
10/17/2021 16H,11179
10/17/2021 15H,11348
10/17/2021 14H,11152
10/17/2021 13H,11013
10/17/2021 12H,10832
10/17/2021 11H,10695
10/17/2021 10H,10431
10/17/2021 09H,10292
10/17/2021 08H,10331
10/17/2021 07H,10571
10/17/2021 06H,10627
10/17/2021 05H,11097
10/17/2021 04H,11291
