Net generation from wind for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WND.H
19:02:48 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WND.H megawatthours
11/6/2021 18H,22314
11/6/2021 17H,20834
11/6/2021 16H,22856
11/6/2021 15H,31969
11/6/2021 14H,41451
11/6/2021 13H,45559
11/6/2021 12H,47537
11/6/2021 11H,49570
11/6/2021 10H,52073
11/6/2021 09H,53886
11/6/2021 08H,55979
11/6/2021 07H,57972
11/6/2021 06H,58231
11/6/2021 05H,55649
11/6/2021 04H,53198
11/6/2021 03H,54228
11/6/2021 02H,50773
11/6/2021 01H,43961
11/6/2021 00H,35470
11/5/2021 23H,32994
11/5/2021 22H,34825
11/5/2021 21H,36197
11/5/2021 20H,37534
11/5/2021 19H,38299
11/5/2021 18H,36981
11/5/2021 17H,35206
11/5/2021 16H,33892
11/5/2021 15H,35566
11/5/2021 14H,39603
11/5/2021 13H,39396
11/5/2021 12H,38399
11/5/2021 11H,39159
11/5/2021 10H,40089
11/5/2021 09H,41822
11/5/2021 08H,42963
11/5/2021 07H,44183
11/5/2021 06H,52587
11/5/2021 05H,52916
11/5/2021 04H,51175
11/5/2021 03H,50094
11/5/2021 02H,47863
11/5/2021 01H,42352
11/5/2021 00H,33808
11/4/2021 23H,28797
11/4/2021 22H,28025
11/4/2021 21H,27921
11/4/2021 20H,27895
11/4/2021 19H,26153
11/4/2021 18H,22978
11/4/2021 17H,20220
11/4/2021 16H,18206
11/4/2021 15H,19589
11/4/2021 14H,19689
11/4/2021 13H,19644
11/4/2021 12H,19500
11/4/2021 11H,19610
11/4/2021 10H,19948
11/4/2021 09H,20611
11/4/2021 08H,20724
11/4/2021 07H,21193
11/4/2021 06H,21923
11/4/2021 05H,21561
11/4/2021 04H,21567
11/4/2021 03H,19403
11/4/2021 02H,17930
11/4/2021 01H,16775
11/4/2021 00H,15235
11/3/2021 23H,14516
11/3/2021 22H,14615
11/3/2021 21H,14556
11/3/2021 20H,14642
11/3/2021 19H,14775
11/3/2021 18H,14926
11/3/2021 17H,15887
11/3/2021 16H,17594
11/3/2021 15H,19275
11/3/2021 14H,20372
11/3/2021 13H,20984
11/3/2021 12H,20601
11/3/2021 11H,20175
11/3/2021 10H,19252
11/3/2021 09H,17829
11/3/2021 08H,17676
11/3/2021 07H,17499
11/3/2021 06H,17798
11/3/2021 05H,18832
11/3/2021 04H,21228
11/3/2021 03H,19728
11/3/2021 02H,20433
11/3/2021 01H,20189
11/3/2021 00H,19636
11/2/2021 23H,19636
11/2/2021 22H,19916
11/2/2021 21H,20147
11/2/2021 20H,19900
11/2/2021 19H,19229
11/2/2021 18H,18137
11/2/2021 17H,18853
11/2/2021 16H,19007
11/2/2021 15H,20004
11/2/2021 14H,23170
11/2/2021 13H,27550
11/2/2021 12H,30715
11/2/2021 11H,32229
11/2/2021 10H,32634
11/2/2021 09H,33158
11/2/2021 08H,33770
11/2/2021 07H,33504
11/2/2021 06H,33318
11/2/2021 05H,33679
11/2/2021 04H,36466
11/2/2021 03H,35072
11/2/2021 02H,34630
11/2/2021 01H,32048
11/2/2021 00H,28342
11/1/2021 23H,28050
11/1/2021 22H,29908
11/1/2021 21H,29621
11/1/2021 20H,30405
11/1/2021 19H,29795
11/1/2021 18H,27149
11/1/2021 17H,23585
11/1/2021 16H,23093
11/1/2021 15H,24131
11/1/2021 14H,28329
11/1/2021 13H,31316
11/1/2021 12H,33978
11/1/2021 11H,35360
11/1/2021 10H,37273
11/1/2021 09H,38906
11/1/2021 08H,40377
11/1/2021 07H,42695
11/1/2021 06H,45100
11/1/2021 05H,38704
11/1/2021 04H,36075
11/1/2021 03H,40948
11/1/2021 02H,42407
11/1/2021 01H,41072
11/1/2021 00H,40040
10/31/2021 23H,40758
10/31/2021 22H,41581
10/31/2021 21H,41005
10/31/2021 20H,40762
10/31/2021 19H,40334
10/31/2021 18H,39366
10/31/2021 17H,38818
10/31/2021 16H,36545
10/31/2021 15H,36137
10/31/2021 14H,39175
10/31/2021 13H,39829
10/31/2021 12H,39628
10/31/2021 11H,39406
10/31/2021 10H,39572
10/31/2021 09H,40332
10/31/2021 08H,39631
10/31/2021 07H,39995
10/31/2021 06H,40913
10/31/2021 05H,41291
10/31/2021 04H,46619
10/31/2021 03H,40835
10/31/2021 02H,36628
10/31/2021 01H,29619
10/31/2021 00H,24196
10/30/2021 23H,22965
10/30/2021 22H,23328
10/30/2021 21H,22854
10/30/2021 20H,23011
10/30/2021 19H,22294
10/30/2021 18H,22219
10/30/2021 17H,22585
10/30/2021 16H,22471
10/30/2021 15H,27263
10/30/2021 14H,30078
10/30/2021 13H,30779
10/30/2021 12H,29452
10/30/2021 11H,28671
10/30/2021 10H,28082
10/30/2021 09H,27248
10/30/2021 08H,27175
10/30/2021 07H,27847
10/30/2021 06H,28994
10/30/2021 05H,37602
10/30/2021 04H,36165
10/30/2021 03H,41208
10/30/2021 02H,40487
10/30/2021 01H,39690
10/30/2021 00H,40263
10/29/2021 23H,48141
10/29/2021 22H,53944
10/29/2021 21H,57035
10/29/2021 20H,58268
10/29/2021 19H,57614
10/29/2021 18H,56745
10/29/2021 17H,56855
10/29/2021 16H,55943
10/29/2021 15H,56851
10/29/2021 14H,60668
10/29/2021 13H,62332
10/29/2021 12H,61828
10/29/2021 11H,60752
10/29/2021 10H,60370
10/29/2021 09H,60995
10/29/2021 08H,60473
10/29/2021 07H,60931
10/29/2021 06H,61576
10/29/2021 05H,61567
10/29/2021 04H,64880
10/29/2021 03H,61902
10/29/2021 02H,62072
