Net generation from nuclear for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.NUC.H
19:14:23 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.NUC.H megawatthours
10/20/2021 14H,9433
10/20/2021 13H,9430
10/20/2021 12H,9431
10/20/2021 11H,9435
10/20/2021 10H,9436
10/20/2021 09H,9429
10/20/2021 08H,9414
10/20/2021 07H,9396
10/20/2021 06H,9380
10/20/2021 05H,9373
10/20/2021 04H,9351
10/20/2021 03H,9333
10/20/2021 02H,9311
10/20/2021 01H,9295
10/20/2021 00H,9272
10/19/2021 23H,9261
10/19/2021 22H,9255
10/19/2021 21H,9250
10/19/2021 20H,9241
10/19/2021 19H,9241
10/19/2021 18H,9240
10/19/2021 17H,9241
10/19/2021 16H,9237
10/19/2021 15H,9236
10/19/2021 14H,9230
10/19/2021 13H,9214
10/19/2021 12H,9207
10/19/2021 11H,9203
10/19/2021 10H,9191
10/19/2021 09H,9188
10/19/2021 08H,9171
10/19/2021 07H,9133
10/19/2021 06H,9031
10/19/2021 05H,8959
10/19/2021 04H,9129
10/19/2021 03H,9415
10/19/2021 02H,9409
10/19/2021 01H,9408
10/19/2021 00H,9406
10/18/2021 23H,9407
10/18/2021 22H,9414
10/18/2021 21H,9416
10/18/2021 20H,9417
10/18/2021 19H,9425
10/18/2021 18H,9433
10/18/2021 17H,9422
10/18/2021 16H,9419
10/18/2021 15H,9420
10/18/2021 14H,9422
10/18/2021 13H,9422
10/18/2021 12H,9397
10/18/2021 11H,9389
10/18/2021 10H,9384
10/18/2021 09H,9392
10/18/2021 08H,9390
10/18/2021 07H,9398
10/18/2021 06H,9396
10/18/2021 05H,9390
10/18/2021 04H,9388
10/18/2021 03H,9380
10/18/2021 02H,9377
10/18/2021 01H,9369
10/18/2021 00H,9361
10/17/2021 23H,9353
10/17/2021 22H,9361
10/17/2021 21H,9399
10/17/2021 20H,9390
10/17/2021 19H,9384
10/17/2021 18H,9381
10/17/2021 17H,9375
10/17/2021 16H,9365
10/17/2021 15H,9357
10/17/2021 14H,9344
10/17/2021 13H,9333
10/17/2021 12H,9326
10/17/2021 11H,9317
10/17/2021 10H,9308
10/17/2021 09H,9294
10/17/2021 08H,9279
10/17/2021 07H,9266
10/17/2021 06H,9243
10/17/2021 05H,9226
10/17/2021 04H,9202
10/17/2021 03H,9188
10/17/2021 02H,9172
10/17/2021 01H,9152
10/17/2021 00H,9128
10/16/2021 23H,9118
10/16/2021 22H,9132
10/16/2021 21H,9118
10/16/2021 20H,9098
10/16/2021 19H,9082
10/16/2021 18H,9056
10/16/2021 17H,8989
10/16/2021 16H,8871
10/16/2021 15H,8941
10/16/2021 14H,8934
10/16/2021 13H,8924
10/16/2021 12H,8913
10/16/2021 11H,8864
10/16/2021 10H,8810
10/16/2021 09H,8808
10/16/2021 08H,8849
10/16/2021 07H,8859
10/16/2021 06H,8908
10/16/2021 05H,8988
10/16/2021 04H,9135
10/16/2021 03H,9375
10/16/2021 02H,9372
10/16/2021 01H,9369
10/16/2021 00H,9370
10/15/2021 23H,9375
10/15/2021 22H,9369
10/15/2021 21H,9370
10/15/2021 20H,9368
10/15/2021 19H,9366
10/15/2021 18H,9375
10/15/2021 17H,9380
