Net generation from natural gas for Carolinas (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390107&sdid=EBA.CAR-ALL.NG.NG.H
19:06:34 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAR-ALL.NG.NG.H megawatthours
10/28/2021 19H,6975
10/28/2021 18H,7019
10/28/2021 17H,6766
10/28/2021 16H,6880
10/28/2021 15H,7137
10/28/2021 14H,7212
10/28/2021 13H,7221
10/28/2021 12H,6898
10/28/2021 11H,6739
10/28/2021 10H,6123
10/28/2021 09H,5864
10/28/2021 08H,5769
10/28/2021 07H,5842
10/28/2021 06H,5963
10/28/2021 05H,6018
10/28/2021 04H,6103
10/28/2021 03H,6700
10/28/2021 02H,6898
10/28/2021 01H,7183
10/28/2021 00H,7156
10/27/2021 23H,6900
10/27/2021 22H,6271
10/27/2021 21H,5563
10/27/2021 20H,5513
10/27/2021 19H,5627
10/27/2021 18H,5203
10/27/2021 17H,5236
10/27/2021 16H,5529
10/27/2021 15H,5699
10/27/2021 14H,5884
10/27/2021 13H,6538
10/27/2021 12H,6824
10/27/2021 11H,6423
10/27/2021 10H,6045
10/27/2021 09H,5772
10/27/2021 08H,5536
10/27/2021 07H,5557
10/27/2021 06H,5453
10/27/2021 05H,5485
10/27/2021 04H,5871
10/27/2021 03H,6452
10/27/2021 02H,7285
10/27/2021 01H,7678
10/27/2021 00H,7802
10/26/2021 23H,7699
10/26/2021 22H,7074
10/26/2021 21H,6503
10/26/2021 20H,6387
10/26/2021 19H,6165
10/26/2021 18H,5801
10/26/2021 17H,5384
10/26/2021 16H,5198
10/26/2021 15H,4975
10/26/2021 14H,5465
10/26/2021 13H,6003
10/26/2021 12H,6394
10/26/2021 11H,6428
10/26/2021 10H,6141
10/26/2021 09H,5851
10/26/2021 08H,5803
10/26/2021 07H,5781
10/26/2021 06H,6106
10/26/2021 05H,6568
10/26/2021 04H,7036
10/26/2021 03H,7393
10/26/2021 02H,8387
10/26/2021 01H,9201
10/26/2021 00H,9206
10/25/2021 23H,8969
10/25/2021 22H,8755
10/25/2021 21H,8760
10/25/2021 20H,8484
10/25/2021 19H,8234
10/25/2021 18H,7972
10/25/2021 17H,7666
10/25/2021 16H,7330
10/25/2021 15H,7141
10/25/2021 14H,7037
10/25/2021 13H,6902
10/25/2021 12H,6520
10/25/2021 11H,5832
10/25/2021 10H,5185
10/25/2021 09H,4560
10/25/2021 08H,4273
10/25/2021 07H,4460
10/25/2021 06H,4751
10/25/2021 05H,4873
10/25/2021 04H,5286
10/25/2021 03H,6143
10/25/2021 02H,7151
10/25/2021 01H,7755
10/25/2021 00H,7710
10/24/2021 23H,7642
10/24/2021 22H,7543
10/24/2021 21H,7046
10/24/2021 20H,6006
10/24/2021 19H,5538
10/24/2021 18H,5281
10/24/2021 17H,5301
10/24/2021 16H,5161
10/24/2021 15H,5104
10/24/2021 14H,5080
10/24/2021 13H,5690
10/24/2021 12H,5665
10/24/2021 11H,5129
10/24/2021 10H,4870
10/24/2021 09H,4646
10/24/2021 08H,4656
10/24/2021 07H,4603
10/24/2021 06H,4693
10/24/2021 05H,4735
10/24/2021 04H,5235
10/24/2021 03H,5847
10/24/2021 02H,6591
10/24/2021 01H,6771
10/24/2021 00H,6728
10/23/2021 23H,6524
10/23/2021 22H,6101
10/23/2021 21H,5774
10/23/2021 20H,5573
10/23/2021 19H,5299
10/23/2021 18H,5033
10/23/2021 17H,4891
10/23/2021 16H,5124
10/23/2021 15H,5374
10/23/2021 14H,5467
10/23/2021 13H,5642
10/23/2021 12H,5650
10/23/2021 11H,5327
10/23/2021 10H,5119
10/23/2021 09H,4952
10/23/2021 08H,4641
10/23/2021 07H,4388
10/23/2021 06H,4124
10/23/2021 05H,4634
10/23/2021 04H,5173
10/23/2021 03H,6084
10/23/2021 02H,7535
10/23/2021 01H,8394
10/23/2021 00H,9099
10/22/2021 23H,9131
10/22/2021 22H,8781
10/22/2021 21H,8538
10/22/2021 20H,8048
10/22/2021 19H,7725
10/22/2021 18H,7273
10/22/2021 17H,7169
10/22/2021 16H,7112
10/22/2021 15H,6649
10/22/2021 14H,6587
10/22/2021 13H,6575
10/22/2021 12H,6437
10/22/2021 11H,5834
10/22/2021 10H,5414
10/22/2021 09H,5226
10/22/2021 08H,5141
10/22/2021 07H,5267
10/22/2021 06H,5271
10/22/2021 05H,5373
10/22/2021 04H,5986
10/22/2021 03H,7044
10/22/2021 02H,8047
10/22/2021 01H,8553
10/22/2021 00H,8684
10/21/2021 23H,8707
10/21/2021 22H,8380
10/21/2021 21H,8074
10/21/2021 20H,7197
10/21/2021 19H,6886
10/21/2021 18H,6234
10/21/2021 17H,5900
10/21/2021 16H,6031
10/21/2021 15H,6301
10/21/2021 14H,6740
10/21/2021 13H,6960
10/21/2021 12H,6957
10/21/2021 11H,6454
10/21/2021 10H,6187
10/21/2021 09H,6116
10/21/2021 08H,5880
10/21/2021 07H,5875
10/21/2021 06H,5466
10/21/2021 05H,5593
10/21/2021 04H,6063
10/21/2021 03H,6748
10/21/2021 02H,7133
10/21/2021 01H,7331
10/21/2021 00H,7469
10/20/2021 23H,7403
10/20/2021 22H,7225
10/20/2021 21H,6751
10/20/2021 20H,6081
10/20/2021 19H,5963
10/20/2021 18H,5967
10/20/2021 17H,5876
10/20/2021 16H,5898
10/20/2021 15H,5971
10/20/2021 14H,6239
10/20/2021 13H,6744
10/20/2021 12H,6897
10/20/2021 11H,6321
10/20/2021 10H,5832
10/20/2021 09H,5770
10/20/2021 08H,5755
10/20/2021 07H,5721
10/20/2021 06H,5784
10/20/2021 05H,5991
10/20/2021 04H,5982
10/20/2021 03H,6583
10/20/2021 02H,7151
10/20/2021 01H,7528
10/20/2021 00H,7627
10/19/2021 23H,7375
10/19/2021 22H,6739
