,BURDEN,,,,,
25954,0.003902439,,,,,
11532,0.003902439,,,,,
12290,0.003905967,,,,,
4996,0.003906977,,,,,
18384,0.003906977,,,,,
36932,0.00391021,,,,,
21307,0.003912973,,,,,
43249,0.003913043,,,,,
10305,0.003915547,,,,,
34874,0.003916914,,,,,
41515,0.003917526,,,,,
33401,0.003917526,,,,,
19458,0.003925845,,,,,
37813,0.003927273,,,,,
17238,0.003928571,,,,,
15279,0.003932744,,,,,
24758,0.003933668,,,,,
9213,0.003934426,,,,,
27979,0.003934426,,,,,
28200,0.003938115,,,,,
29222,0.003939623,,,,,
2991,0.003943662,,,,,
43825,0.003945841,,,,,
20723,0.003947368,,,,,
11601,0.003949367,,,,,
17817,0.003950617,,,,,
15750,0.003950617,,,,,
12458,0.003952096,,,,,
10585,0.003956044,,,,,
34070,0.003960396,,,,,
44468,0.003960396,,,,,
36531,0.003960396,,,,,
2496,0.003962264,,,,,
17638,0.003963666,,,,,
35848,0.003968731,,,,,
30542,0.003968816,,,,,
2516,0.00397351,,,,,
6366,0.003975155,,,,,
31237,0.003976945,,,,,
44988,0.003979592,,,,,
43207,0.003979592,,,,,
33684,0.003980198,,,,,
23937,0.003982301,,,,,
5395,0.003983402,,,,,
27428,0.003986711,,,,,
29698,0.003987815,,,,,
29401,0.00398892,,,,,
17640,0.004,,,,,
6513,0.004,,,,,
12696,0.004,,,,,
37138,0.004,,,,,
1981,0.004,,,,,
28654,0.004,,,,,
23274,0.004,,,,,
42926,0.004,,,,,
36755,0.004,,,,,
41102,0.004,,,,,
5965,0.004,,,,,
8681,0.004010283,,,,,
11978,0.004019139,,,,,
39371,0.004025157,,,,,
37838,0.00402543,,,,,
36004,0.004026846,,,,,
19515,0.004037685,,,,,
5973,0.004040404,,,,,
20518,0.004042105,,,,,
31736,0.004044944,,,,,
1768,0.004047976,,,,,
19929,0.004052533,,,,,
17181,0.004054054,,,,,
9097,0.004057971,,,,,
33167,0.004058501,,,,,
41832,0.004060914,,,,,
36753,0.004061896,,,,,
18381,0.004063205,,,,,
24750,0.004064896,,,,,
4261,0.004075472,,,,,
39523,0.004075472,,,,,
40125,0.004075472,,,,,
21384,0.004075472,,,,,
14150,0.004076809,,,,,
31623,0.00407932,,,,,
21951,0.004081633,,,,,
27998,0.004081633,,,,,
10159,0.00408377,,,,,
16572,0.004086687,,,,,
35377,0.004093886,,,,,
27929,0.004098672,,,,,
36080,0.004100719,,,,,
2409,0.004100719,,,,,
4284,0.004100946,,,,,
4845,0.004106464,,,,,
34789,0.004106464,,,,,
4929,0.004109589,,,,,
17006,0.004109589,,,,,
1808,0.004109589,,,,,
37839,0.004113111,,,,,
40030,0.004114286,,,,,
1003,0.004114286,,,,,
35792,0.004114286,,,,,
42889,0.004116095,,,,,
11895,0.004116095,,,,,
39237,0.00411728,,,,,
38683,0.004123286,,,,,
34573,0.004123711,,,,,
36881,0.004123711,,,,,
36051,0.004123711,,,,,
41339,0.004125,,,,,
20733,0.004130262,,,,,
23030,0.004130809,,,,,
36627,0.004135079,,,,,
31463,0.004137931,,,,,
18691,0.004137931,,,,,
12618,0.004147157,,,,,
40946,0.004148148,,,,,
35777,0.004148148,,,,,
1227,0.004149856,,,,,
21358,0.004153846,,,,,
4362,0.004153846,,,,,
36647,0.004159789,,,,,
17650,0.00416,,,,,
43329,0.004162812,,,,,
21519,0.004165863,,,,,
28710,0.004171123,,,,,
3642,0.004173913,,,,,
18078,0.004173913,,,,,
44506,0.004175988,,,,,
18772,0.004178273,,,,,
28002,0.004179104,,,,,
1439,0.004183007,,,,,
20411,0.004183007,,,,,
11631,0.004185052,,,,,
35204,0.0042,,,,,
21067,0.0042,,,,,
27994,0.0042,,,,,
37927,0.004201313,,,,,
20228,0.00420202,,,,,
40289,0.004202899,,,,,
14312,0.00420397,,,,,
23038,0.004210526,,,,,
22618,0.004210526,,,,,
42586,0.004213483,,,,,
17000,0.004215809,,,,,
38578,0.004221636,,,,,
43740,0.004235294,,,,,
40052,0.004235294,,,,,
19265,0.004235294,,,,,
24490,0.004237524,,,,,
26102,0.004242928,,,,,
25556,0.004246053,,,,,
19742,0.00425,,,,,
10149,0.004258065,,,,,
6289,0.004266667,,,,,
37207,0.004266667,,,,,
20001,0.004268775,,,,,
26751,0.004270463,,,,,
40144,0.004271845,,,,,
20410,0.004273314,,,,,
43519,0.004275534,,,,,
20127,0.00427673,,,,,
39707,0.004277857,,,,,
27202,0.004285714,,,,,
43940,0.004285714,,,,,
490,0.004285714,,,,,
8186,0.004285714,,,,,
4821,0.004285714,,,,,
38477,0.004285714,,,,,
3733,0.004299674,,,,,
5311,0.004304933,,,,,
10697,0.004307692,,,,,
6805,0.004313725,,,,,
18724,0.004313725,,,,,
22985,0.004314607,,,,,
39168,0.004316469,,,,,
21388,0.004316547,,,,,
13291,0.004316547,,,,,
29022,0.004318273,,,,,
7925,0.004318766,,,,,
40342,0.004318766,,,,,
43252,0.004318766,,,,,
26095,0.00432,,,,,
17710,0.00432,,,,,
1769,0.00432,,,,,
42766,0.00432,,,,,
5764,0.00432133,,,,,
38544,0.004328409,,,,,
38219,0.004329897,,,,,
25812,0.004329897,,,,,
5704,0.004333333,,,,,
43445,0.004334086,,,,,
9635,0.004337349,,,,,
22298,0.004337349,,,,,
29476,0.00433936,,,,,
36128,0.004339964,,,,,
13135,0.004343891,,,,,
40607,0.004350453,,,,,
7546,0.004360097,,,,,
28050,0.004363636,,,,,
25269,0.004370861,,,,,
812,0.004375,,,,,
39240,0.004376368,,,,,
8055,0.0043769,,,,,
26580,0.004379562,,,,,
20646,0.004384896,,,,,
39812,0.004386423,,,,,
36682,0.004394071,,,,,
17964,0.004394904,,,,,
12863,0.004397906,,,,,
40262,0.004398827,,,,,
21321,0.0044,,,,,
41555,0.004400978,,,,,
41378,0.004402054,,,,,
7051,0.004411765,,,,,
42834,0.004412537,,,,,
44657,0.004421053,,,,,
11104,0.004432505,,,,,
8436,0.004433249,,,,,
37895,0.004444444,,,,,
33720,0.004444444,,,,,
17756,0.004444444,,,,,
10765,0.004444444,,,,,
26421,0.004444444,,,,,
36126,0.004444444,,,,,
17921,0.004447739,,,,,
25215,0.004453125,,,,,
6659,0.004454756,,,,,
28571,0.004455052,,,,,
38644,0.00445579,,,,,
44929,0.004456233,,,,,
29972,0.004458204,,,,,
14516,0.004458204,,,,,
18441,0.004464078,,,,,
15763,0.004464286,,,,,
10659,0.004465116,,,,,
35949,0.004469274,,,,,
22378,0.004469274,,,,,
1836,0.004474576,,,,,
21257,0.004474576,,,,,
37894,0.004474576,,,,,
22381,0.00448,,,,,
28141,0.00448,,,,,
16017,0.004480119,,,,,
21997,0.004484305,,,,,
41508,0.004494382,,,,,
44486,0.0045,,,,,
24716,0.0045,,,,,
29380,0.0045,,,,,
4179,0.0045,,,,,
21381,0.0045,,,,,
18395,0.0045,,,,,
22736,0.0045,,,,,
41569,0.004502251,,,,,
17221,0.004503582,,,,,
41289,0.004509395,,,,,
29054,0.004515522,,,,,
9285,0.004520548,,,,,
17002,0.004521193,,,,,
44455,0.004528302,,,,,
15792,0.004532803,,,,,
39833,0.004532967,,,,,
44287,0.004536082,,,,,
39516,0.004536082,,,,,
36840,0.004536082,,,,,
12676,0.004536082,,,,,
43414,0.004540541,,,,,
20969,0.004541154,,,,,
36818,0.004542014,,,,,
25226,0.00454343,,,,,
339,0.004545455,,,,,
36429,0.004547608,,,,,
23041,0.004556385,,,,,
12231,0.004556962,,,,,
18012,0.004556962,,,,,
26454,0.004558145,,,,,
20508,0.00456,,,,,
3074,0.004571429,,,,,
22008,0.004571429,,,,,
23607,0.004571429,,,,,
25388,0.004573503,,,,,
44554,0.004573606,,,,,
12472,0.004577657,,,,,
23168,0.004577657,,,,,
19826,0.004580153,,,,,
36081,0.004591837,,,,,
35842,0.004593301,,,,,
42946,0.004594595,,,,,
13065,0.004595745,,,,,
22737,0.004602888,,,,,
37111,0.004603581,,,,,
43257,0.004605544,,,,,
33406,0.00461408,,,,,
35820,0.004615385,,,,,
35346,0.004615385,,,,,
2424,0.004615385,,,,,
18655,0.004618614,,,,,
40573,0.004627249,,,,,
43986,0.004628571,,,,,
21439,0.004633675,,,,,
4192,0.004635958,,,,,
17654,0.004636785,,,,,
5299,0.004637681,,,,,
13239,0.004638655,,,,,
40371,0.004642857,,,,,
30446,0.004642857,,,,,
21688,0.004643585,,,,,
39796,0.004645161,,,,,
18350,0.004645161,,,,,
36330,0.004645911,,,,,
32883,0.00464891,,,,,
1106,0.004651163,,,,,
33070,0.004651163,,,,,
44235,0.00465374,,,,,
14178,0.004654443,,,,,
34707,0.004658041,,,,,
15165,0.004658579,,,,,
18754,0.004666667,,,,,
39983,0.004682927,,,,,
22040,0.004685466,,,,,
25239,0.004687285,,,,,
23386,0.004690554,,,,,
4961,0.004690554,,,,,
31584,0.004692737,,,,,
27218,0.004694553,,,,,
23562,0.004695652,,,,,
6747,0.004697728,,,,,
18293,0.004701493,,,,,
23063,0.004711055,,,,,
1947,0.004717445,,,,,
38210,0.004719101,,,,,
41607,0.004729064,,,,,
32364,0.004732394,,,,,
3015,0.004736063,,,,,
17724,0.004736842,,,,,
10952,0.004742268,,,,,
39823,0.004748201,,,,,
9162,0.004748201,,,,,
5361,0.004748201,,,,,
17788,0.004748796,,,,,
32362,0.004752475,,,,,
10626,0.004752475,,,,,
1565,0.004752475,,,,,
40999,0.004752475,,,,,
2698,0.004752475,,,,,
39190,0.004753616,,,,,
458,0.004759916,,,,,
3989,0.004761905,,,,,
2342,0.004763359,,,,,
40019,0.004768212,,,,,
14450,0.004770186,,,,,
4496,0.004771372,,,,,
2349,0.004772727,,,,,
20769,0.004775023,,,,,
44459,0.004778157,,,,,
25443,0.004778761,,,,,
3657,0.004779607,,,,,
21211,0.004782609,,,,,
44310,0.004784396,,,,,
44141,0.004786194,,,,,
7557,0.004786325,,,,,
20812,0.004786325,,,,,
44669,0.004787234,,,,,
9404,0.004788508,,,,,
36082,0.004790419,,,,,
38188,0.004792627,,,,,
42894,0.004792627,,,,,
39537,0.004796802,,,,,
8386,0.004799127,,,,,
6830,0.0048,,,,,
43870,0.0048,,,,,
36085,0.0048,,,,,
21722,0.0048,,,,,
18370,0.0048,,,,,
9242,0.0048,,,,,
11337,0.0048,,,,,
24968,0.0048,,,,,
34477,0.0048,,,,,
45001,0.0048,,,,,
4218,0.0048,,,,,
15003,0.0048,,,,,
25571,0.0048,,,,,
31118,0.0048,,,,,
25652,0.0048,,,,,
33414,0.0048,,,,,
3616,0.004805492,,,,,
20110,0.00480916,,,,,
28148,0.00481069,,,,,
7477,0.004811321,,,,,
9540,0.004811321,,,,,
29971,0.004814443,,,,,
36681,0.004814815,,,,,
23768,0.004816054,,,,,
17670,0.004819277,,,,,
23641,0.004820766,,,,,
8251,0.004823151,,,,,
14976,0.004829721,,,,,
43658,0.004829721,,,,,
44182,0.004832215,,,,,
25369,0.004836881,,,,,
19638,0.004845606,,,,,
20768,0.004849138,,,,,
23825,0.0048583,,,,,
28670,0.0048583,,,,,
18837,0.004859813,,,,,
17721,0.004864865,,,,,
35489,0.004868154,,,,,
37421,0.004868735,,,,,
38491,0.004870849,,,,,
21978,0.004873096,,,,,
11068,0.004881356,,,,,
29616,0.004882629,,,,,
