Net generation from other for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.OTH.H
19:20:33 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.OTH.H megawatthours
10/10/2021 02H,355
10/10/2021 01H,371
10/10/2021 00H,387
10/9/2021 23H,391
10/9/2021 22H,396
10/9/2021 21H,370
10/9/2021 20H,355
10/9/2021 19H,348
10/9/2021 18H,350
10/9/2021 17H,344
10/9/2021 16H,335
10/9/2021 15H,334
10/9/2021 14H,323
10/9/2021 13H,329
10/9/2021 12H,308
10/9/2021 11H,315
10/9/2021 10H,318
10/9/2021 09H,322
10/9/2021 08H,322
10/9/2021 07H,323
10/9/2021 06H,324
10/9/2021 05H,320
10/9/2021 04H,329
10/9/2021 03H,339
10/9/2021 02H,345
10/9/2021 01H,335
10/9/2021 00H,336
10/8/2021 23H,359
10/8/2021 22H,380
10/8/2021 21H,381
10/8/2021 20H,381
10/8/2021 19H,368
10/8/2021 18H,361
10/8/2021 17H,331
10/8/2021 16H,304
10/8/2021 15H,313
10/8/2021 14H,314
10/8/2021 13H,309
10/8/2021 12H,301
10/8/2021 11H,303
10/8/2021 10H,298
10/8/2021 09H,319
10/8/2021 08H,327
10/8/2021 07H,342
10/8/2021 06H,342
10/8/2021 05H,341
10/8/2021 04H,343
10/8/2021 03H,355
10/8/2021 02H,369
10/8/2021 01H,379
10/8/2021 00H,395
10/7/2021 23H,387
10/7/2021 22H,375
10/7/2021 21H,384
10/7/2021 20H,368
10/7/2021 19H,362
10/7/2021 18H,360
10/7/2021 17H,354
10/7/2021 16H,335
10/7/2021 15H,324
10/7/2021 14H,306
10/7/2021 13H,277
10/7/2021 12H,280
10/7/2021 11H,281
10/7/2021 10H,281
10/7/2021 09H,281
10/7/2021 08H,288
10/7/2021 07H,292
10/7/2021 06H,293
10/7/2021 05H,296
10/7/2021 04H,295
10/7/2021 03H,292
10/7/2021 02H,296
10/7/2021 01H,331
10/7/2021 00H,317
10/6/2021 23H,308
10/6/2021 22H,310
10/6/2021 21H,302
10/6/2021 20H,268
10/6/2021 19H,281
10/6/2021 18H,274
10/6/2021 17H,262
10/6/2021 16H,261
10/6/2021 15H,269
10/6/2021 14H,280
10/6/2021 13H,284
10/6/2021 12H,280
10/6/2021 11H,295
10/6/2021 10H,297
10/6/2021 09H,300
10/6/2021 08H,303
10/6/2021 07H,302
10/6/2021 06H,300
10/6/2021 05H,292
10/6/2021 04H,295
10/6/2021 03H,299
10/6/2021 02H,299
10/6/2021 01H,298
10/6/2021 00H,283
10/5/2021 23H,264
10/5/2021 22H,267
10/5/2021 21H,260
10/5/2021 20H,256
10/5/2021 19H,254
10/5/2021 18H,245
10/5/2021 17H,265
10/5/2021 16H,277
10/5/2021 15H,290
10/5/2021 14H,297
10/5/2021 13H,337
10/5/2021 12H,341
10/5/2021 11H,345
10/5/2021 10H,362
10/5/2021 09H,361
10/5/2021 08H,362
10/5/2021 07H,362
10/5/2021 06H,359
10/5/2021 05H,360
10/5/2021 04H,356
10/5/2021 03H,342
10/5/2021 02H,348
10/5/2021 01H,354
10/5/2021 00H,390
10/4/2021 23H,390
10/4/2021 22H,395
10/4/2021 21H,381
10/4/2021 20H,396
10/4/2021 19H,375
10/4/2021 18H,360
10/4/2021 17H,356
10/4/2021 16H,351
10/4/2021 15H,350
10/4/2021 14H,344
10/4/2021 13H,356
10/4/2021 12H,363
10/4/2021 11H,368
10/4/2021 10H,361
10/4/2021 09H,364
10/4/2021 08H,363
10/4/2021 07H,358
10/4/2021 06H,344
10/4/2021 05H,332
10/4/2021 04H,366
10/4/2021 03H,390
10/4/2021 02H,387
10/4/2021 01H,382
10/4/2021 00H,381
10/3/2021 23H,386
10/3/2021 22H,394
10/3/2021 21H,388
10/3/2021 20H,378
10/3/2021 19H,336
10/3/2021 18H,350
