Net generation from coal for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.COL.H
19:20:06 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.COL.H megawatthours
11/1/2021 02H,4098
11/1/2021 01H,4190
11/1/2021 00H,4079
10/31/2021 23H,4033
10/31/2021 22H,3853
10/31/2021 21H,3764
10/31/2021 20H,3743
10/31/2021 19H,3778
10/31/2021 18H,3715
10/31/2021 17H,3790
10/31/2021 16H,3707
10/31/2021 15H,3560
10/31/2021 14H,3562
10/31/2021 13H,3515
10/31/2021 12H,3574
10/31/2021 11H,3562
10/31/2021 10H,3573
10/31/2021 09H,3567
10/31/2021 08H,3567
10/31/2021 07H,3534
10/31/2021 06H,3566
10/31/2021 05H,3556
10/31/2021 04H,3691
10/31/2021 03H,3780
10/31/2021 02H,3801
10/31/2021 01H,3915
10/31/2021 00H,3898
10/30/2021 23H,3815
10/30/2021 22H,3813
10/30/2021 21H,3807
10/30/2021 20H,3807
10/30/2021 19H,3813
10/30/2021 18H,3813
10/30/2021 17H,3809
10/30/2021 16H,3751
10/30/2021 15H,3567
10/30/2021 14H,3556
10/30/2021 13H,3566
10/30/2021 12H,3562
10/30/2021 11H,3568
10/30/2021 10H,3561
10/30/2021 09H,3578
10/30/2021 08H,3559
10/30/2021 07H,3528
10/30/2021 06H,3537
10/30/2021 05H,3470
10/30/2021 04H,3527
10/30/2021 03H,3715
10/30/2021 02H,4054
10/30/2021 01H,4227
10/30/2021 00H,4238
10/29/2021 23H,4228
10/29/2021 22H,4227
10/29/2021 21H,4226
10/29/2021 20H,4222
10/29/2021 19H,4149
10/29/2021 18H,4116
10/29/2021 17H,4080
10/29/2021 16H,3983
10/29/2021 15H,3867
10/29/2021 14H,3803
10/29/2021 13H,3747
10/29/2021 12H,3757
10/29/2021 11H,3763
10/29/2021 10H,3750
10/29/2021 09H,3746
10/29/2021 08H,3758
10/29/2021 07H,3840
10/29/2021 06H,3810
10/29/2021 05H,3725
10/29/2021 04H,3834
10/29/2021 03H,4042
10/29/2021 02H,4031
10/29/2021 01H,4029
10/29/2021 00H,4077
10/28/2021 23H,4071
10/28/2021 22H,4031
10/28/2021 21H,4132
10/28/2021 20H,4285
10/28/2021 19H,4150
10/28/2021 18H,3808
10/28/2021 17H,3760
10/28/2021 16H,3695
10/28/2021 15H,3516
10/28/2021 14H,3492
10/28/2021 13H,3340
10/28/2021 12H,3455
10/28/2021 11H,3451
10/28/2021 10H,3411
10/28/2021 09H,3486
10/28/2021 08H,3502
10/28/2021 07H,3516
10/28/2021 06H,3472
10/28/2021 05H,3519
10/28/2021 04H,3591
10/28/2021 03H,3759
10/28/2021 02H,3768
10/28/2021 01H,3896
10/28/2021 00H,4007
10/27/2021 23H,3849
10/27/2021 22H,3693
10/27/2021 21H,3799
10/27/2021 20H,3761
10/27/2021 19H,3764
10/27/2021 18H,3763
10/27/2021 17H,3710
10/27/2021 16H,3656
10/27/2021 15H,3514
10/27/2021 14H,3515
10/27/2021 13H,3525
10/27/2021 12H,3529
10/27/2021 11H,3502
10/27/2021 10H,3530
10/27/2021 09H,3517
10/27/2021 08H,3524
10/27/2021 07H,3519
10/27/2021 06H,3494
10/27/2021 05H,3520
10/27/2021 04H,3702
10/27/2021 03H,4000
10/27/2021 02H,4133
10/27/2021 01H,4328
10/27/2021 00H,4454
10/26/2021 23H,4346
10/26/2021 22H,4309
10/26/2021 21H,4261
10/26/2021 20H,4194
10/26/2021 19H,3929
10/26/2021 18H,3925
10/26/2021 17H,3984
10/26/2021 16H,3875
10/26/2021 15H,3672
10/26/2021 14H,3113
10/26/2021 13H,3149
10/26/2021 12H,3671
10/26/2021 11H,3670
10/26/2021 10H,3668
10/26/2021 09H,3655
10/26/2021 08H,3667
10/26/2021 07H,3661
10/26/2021 06H,3631
10/26/2021 05H,3701
10/26/2021 04H,3763
10/26/2021 03H,3861
10/26/2021 02H,3797
10/26/2021 01H,3863
10/26/2021 00H,4166
10/25/2021 23H,4037
10/25/2021 22H,3936
10/25/2021 21H,3876
10/25/2021 20H,3828
10/25/2021 19H,3719
10/25/2021 18H,3806
10/25/2021 17H,3691
10/25/2021 16H,3701
10/25/2021 15H,3531
10/25/2021 14H,3557
10/25/2021 13H,3670
10/25/2021 12H,3666
10/25/2021 11H,3665
10/25/2021 10H,3631
10/25/2021 09H,3569
10/25/2021 08H,3571
10/25/2021 07H,3621
10/25/2021 06H,3657
10/25/2021 05H,3662
10/25/2021 04H,3725
10/25/2021 03H,3892
10/25/2021 02H,3768
10/25/2021 01H,3471
10/25/2021 00H,3765
10/24/2021 23H,3816
10/24/2021 22H,3766
10/24/2021 21H,3799
10/24/2021 20H,3790
10/24/2021 19H,3822
10/24/2021 18H,3828
10/24/2021 17H,3787
10/24/2021 16H,3716
10/24/2021 15H,3659
10/24/2021 14H,3667
10/24/2021 13H,3657
10/24/2021 12H,3666
10/24/2021 11H,3663
10/24/2021 10H,3665
10/24/2021 09H,3663
10/24/2021 08H,3664
10/24/2021 07H,3624
10/24/2021 06H,3645
10/24/2021 05H,3657
10/24/2021 04H,3712
10/24/2021 03H,3824
10/24/2021 02H,3811
10/24/2021 01H,3742
10/24/2021 00H,3429
10/23/2021 23H,3750
10/23/2021 22H,3823
10/23/2021 21H,3675
10/23/2021 20H,3703
10/23/2021 19H,3822
10/23/2021 18H,3803
10/23/2021 17H,3739
10/23/2021 16H,3712
10/23/2021 15H,3664
10/23/2021 14H,3665
10/23/2021 13H,3670
10/23/2021 12H,3564
10/23/2021 11H,3554
10/23/2021 10H,3559
10/23/2021 09H,3628
10/23/2021 08H,3701
10/23/2021 07H,3501
10/23/2021 06H,3453
10/23/2021 05H,3588
10/23/2021 04H,3645
10/23/2021 03H,3862
10/23/2021 02H,3915
10/23/2021 01H,3865
10/23/2021 00H,3884
10/22/2021 23H,3855
10/22/2021 22H,3834
10/22/2021 21H,3853
10/22/2021 20H,3892
10/22/2021 19H,3899
10/22/2021 18H,3900
10/22/2021 17H,3757
10/22/2021 16H,3680
10/22/2021 15H,3216
10/22/2021 14H,2737
10/22/2021 13H,3123
10/22/2021 12H,3458
10/22/2021 11H,3306
10/22/2021 10H,3573
10/22/2021 09H,3554
10/22/2021 08H,3566
10/22/2021 07H,3655
10/22/2021 06H,3656
10/22/2021 05H,3667
10/22/2021 04H,3685
10/22/2021 03H,3843
10/22/2021 02H,3516
10/22/2021 01H,3176
10/22/2021 00H,3604
10/21/2021 23H,3608
10/21/2021 22H,3415
10/21/2021 21H,2969
10/21/2021 20H,3020
10/21/2021 19H,3549
10/21/2021 18H,3728
10/21/2021 17H,3733
10/21/2021 16H,3680
10/21/2021 15H,2788
10/21/2021 14H,2622
10/21/2021 13H,3304
10/21/2021 12H,3642
10/21/2021 11H,3665
10/21/2021 10H,3661
10/21/2021 09H,3661
10/21/2021 08H,3587
10/21/2021 07H,3667
10/21/2021 06H,3655
10/21/2021 05H,3609
10/21/2021 04H,3676
10/21/2021 03H,3794
10/21/2021 02H,3756
10/21/2021 01H,3669
10/21/2021 00H,3866
10/20/2021 23H,3816
10/20/2021 22H,3776
10/20/2021 21H,3480
10/20/2021 20H,3773
10/20/2021 19H,3780
10/20/2021 18H,3792
10/20/2021 17H,3731
10/20/2021 16H,3601
10/20/2021 15H,3263
10/20/2021 14H,2784
10/20/2021 13H,3198
10/20/2021 12H,3634
10/20/2021 11H,3669
10/20/2021 10H,3666
10/20/2021 09H,3666
10/20/2021 08H,3665
10/20/2021 07H,3622
10/20/2021 06H,3663
10/20/2021 05H,3661
10/20/2021 04H,3689
10/20/2021 03H,3763
10/20/2021 02H,3740
10/20/2021 01H,3746
10/20/2021 00H,3788
10/19/2021 23H,3723
10/19/2021 22H,3504
10/19/2021 21H,3805
10/19/2021 20H,3777
10/19/2021 19H,3674
10/19/2021 18H,3669
10/19/2021 17H,3655
10/19/2021 16H,3661
10/19/2021 15H,3653
10/19/2021 14H,3660
10/19/2021 13H,3663
10/19/2021 12H,3673
10/19/2021 11H,3688
10/19/2021 10H,3770
10/19/2021 09H,3638
10/19/2021 08H,3585
10/19/2021 07H,3337
10/19/2021 06H,3233
10/19/2021 05H,3219
10/19/2021 04H,3106
10/19/2021 03H,2861
10/19/2021 02H,2772
10/19/2021 01H,2765
10/19/2021 00H,2773
10/18/2021 23H,2776
10/18/2021 22H,2747
10/18/2021 21H,2772
10/18/2021 20H,2778
10/18/2021 19H,2759
10/18/2021 18H,2766
10/18/2021 17H,2769
10/18/2021 16H,2775
10/18/2021 15H,2733
10/18/2021 14H,2292
10/18/2021 13H,2735
10/18/2021 12H,2833
10/18/2021 11H,2823
10/18/2021 10H,2810
10/18/2021 09H,2830
10/18/2021 08H,2914
10/18/2021 07H,2917
10/18/2021 06H,2885
10/18/2021 05H,2914
10/18/2021 04H,2925
10/18/2021 03H,2915
10/18/2021 02H,2921
10/18/2021 01H,2923
10/18/2021 00H,2920
10/17/2021 23H,2926
10/17/2021 22H,2928
10/17/2021 21H,2848
10/17/2021 20H,2842
10/17/2021 19H,2924
10/17/2021 18H,2925
10/17/2021 17H,2882
10/17/2021 16H,2888
10/17/2021 15H,2901
