Net generation from solar for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.SUN.H
19:22:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.SUN.H megawatthours
11/4/2021 14H,25
11/4/2021 13H,2
11/4/2021 12H,6
11/4/2021 11H,5
11/4/2021 10H,2
11/4/2021 09H,1
11/4/2021 08H,1
11/4/2021 07H,4
11/4/2021 06H,7
11/4/2021 05H,7
11/4/2021 04H,2
11/4/2021 03H,15
11/4/2021 02H,47
11/4/2021 01H,132
11/4/2021 00H,839
11/3/2021 23H,1516
11/3/2021 22H,1615
11/3/2021 21H,1591
11/3/2021 20H,1577
11/3/2021 19H,1591
11/3/2021 18H,1648
11/3/2021 17H,1660
11/3/2021 16H,1317
11/3/2021 15H,495
11/3/2021 14H,51
11/3/2021 13H,30
11/3/2021 12H,8
11/3/2021 11H,5
11/3/2021 10H,5
11/3/2021 09H,2
11/3/2021 08H,2
11/3/2021 07H,2
11/3/2021 06H,2
11/3/2021 05H,2
11/3/2021 04H,3
11/3/2021 03H,18
11/3/2021 02H,18
11/3/2021 01H,100
11/3/2021 00H,757
11/2/2021 23H,1276
11/2/2021 22H,1440
11/2/2021 21H,1350
11/2/2021 20H,1353
11/2/2021 19H,1342
11/2/2021 18H,1442
11/2/2021 17H,1279
11/2/2021 16H,792
11/2/2021 15H,202
11/2/2021 14H,23
11/2/2021 13H,12
11/2/2021 12H,20
11/2/2021 11H,33
11/2/2021 10H,10
11/2/2021 09H,15
11/2/2021 08H,15
11/2/2021 07H,10
11/2/2021 06H,17
11/2/2021 05H,18
11/2/2021 04H,28
11/2/2021 03H,50
11/2/2021 02H,45
11/2/2021 01H,53
11/2/2021 00H,409
11/1/2021 23H,1070
11/1/2021 22H,1335
11/1/2021 21H,1444
11/1/2021 20H,1448
11/1/2021 19H,1474
11/1/2021 18H,1445
11/1/2021 17H,1386
11/1/2021 16H,1032
11/1/2021 15H,388
11/1/2021 14H,27
11/1/2021 13H,9
11/1/2021 12H,12
11/1/2021 11H,18
11/1/2021 10H,12
11/1/2021 09H,7
11/1/2021 08H,13
11/1/2021 07H,19
11/1/2021 06H,23
11/1/2021 05H,24
11/1/2021 04H,33
11/1/2021 03H,57
11/1/2021 02H,70
11/1/2021 01H,167
11/1/2021 00H,856
10/31/2021 23H,1435
10/31/2021 22H,1509
10/31/2021 21H,1476
10/31/2021 20H,1440
10/31/2021 19H,1430
10/31/2021 18H,1454
10/31/2021 17H,1389
10/31/2021 16H,993
10/31/2021 15H,346
10/31/2021 14H,18
10/31/2021 13H,11
10/31/2021 12H,10
10/31/2021 11H,8
10/31/2021 10H,10
10/31/2021 09H,11
10/31/2021 08H,11
10/31/2021 07H,15
10/31/2021 06H,23
10/31/2021 05H,24
10/31/2021 04H,37
10/31/2021 03H,73
10/31/2021 02H,63
10/31/2021 01H,151
10/31/2021 00H,872
10/30/2021 23H,1499
10/30/2021 22H,1598
10/30/2021 21H,1567
10/30/2021 20H,1547
10/30/2021 19H,1557
10/30/2021 18H,1604
10/30/2021 17H,1600
10/30/2021 16H,1275
10/30/2021 15H,503
10/30/2021 14H,15
10/30/2021 13H,-1
10/30/2021 12H,-1
10/30/2021 11H,-2
10/30/2021 10H,-1
10/30/2021 09H,4
10/30/2021 08H,17
10/30/2021 07H,27
10/30/2021 06H,28
10/30/2021 05H,21
10/30/2021 04H,13
10/30/2021 03H,41
10/30/2021 02H,37
10/30/2021 01H,155
10/30/2021 00H,922
10/29/2021 23H,1529
10/29/2021 22H,1640
10/29/2021 21H,1643
10/29/2021 20H,1614
10/29/2021 19H,1634
10/29/2021 18H,1690
10/29/2021 17H,1702
10/29/2021 16H,1383
10/29/2021 15H,546
10/29/2021 14H,30
10/29/2021 13H,10
10/29/2021 12H,10
10/29/2021 11H,14
10/29/2021 10H,15
10/29/2021 09H,15
10/29/2021 08H,20
10/29/2021 07H,28
10/29/2021 06H,43
10/29/2021 05H,43
10/29/2021 04H,73
10/29/2021 03H,87
10/29/2021 02H,103
10/29/2021 01H,230
10/29/2021 00H,1053
10/28/2021 23H,1682
10/28/2021 22H,1772
10/28/2021 21H,1741
10/28/2021 20H,1636
10/28/2021 19H,1657
10/28/2021 18H,1682
10/28/2021 17H,1642
10/28/2021 16H,1340
10/28/2021 15H,603
10/28/2021 14H,84
10/28/2021 13H,65
10/28/2021 12H,75
10/28/2021 11H,77
10/28/2021 10H,59
10/28/2021 09H,29
10/28/2021 08H,22
10/28/2021 07H,16
10/28/2021 06H,17
10/28/2021 05H,14
10/28/2021 04H,56
10/28/2021 03H,67
10/28/2021 02H,82
10/28/2021 01H,172
10/28/2021 00H,956
10/27/2021 23H,1547
10/27/2021 22H,1622
10/27/2021 21H,1600
10/27/2021 20H,1569
10/27/2021 19H,1575
10/27/2021 18H,1621
10/27/2021 17H,1617
10/27/2021 16H,1291
10/27/2021 15H,553
10/27/2021 14H,19
10/27/2021 13H,2
10/27/2021 12H,0
10/27/2021 11H,3
10/27/2021 10H,12
10/27/2021 09H,20
10/27/2021 08H,32
10/27/2021 07H,27
10/27/2021 06H,13
10/27/2021 05H,34
10/27/2021 04H,55
10/27/2021 03H,80
10/27/2021 02H,106
10/27/2021 01H,216
10/27/2021 00H,914
10/26/2021 23H,1329
10/26/2021 22H,1356
10/26/2021 21H,1326
10/26/2021 20H,1296
10/26/2021 19H,1284
10/26/2021 18H,1277
10/26/2021 17H,1203
10/26/2021 16H,765
10/26/2021 15H,253
10/26/2021 14H,32
10/26/2021 13H,21
10/26/2021 12H,27
10/26/2021 11H,47
10/26/2021 10H,78
10/26/2021 09H,79
10/26/2021 08H,88
10/26/2021 07H,88
10/26/2021 06H,88
10/26/2021 05H,89
10/26/2021 04H,93
10/26/2021 03H,105
10/26/2021 02H,146
10/26/2021 01H,213
10/26/2021 00H,758
10/25/2021 23H,1286
10/25/2021 22H,1426
10/25/2021 21H,1435
10/25/2021 20H,1416
10/25/2021 19H,1370
10/25/2021 18H,1427
10/25/2021 17H,1457
10/25/2021 16H,1183
10/25/2021 15H,581
10/25/2021 14H,95
10/25/2021 13H,77
10/25/2021 12H,80
10/25/2021 11H,71
10/25/2021 10H,58
10/25/2021 09H,61
10/25/2021 08H,65
10/25/2021 07H,75
10/25/2021 06H,56
10/25/2021 05H,38
10/25/2021 04H,34
10/25/2021 03H,68
10/25/2021 02H,93
10/25/2021 01H,199
10/25/2021 00H,701
10/24/2021 23H,1119
10/24/2021 22H,1292
10/24/2021 21H,1352
10/24/2021 20H,1358
10/24/2021 19H,1255
10/24/2021 18H,1370
10/24/2021 17H,1292
10/24/2021 16H,1045
10/24/2021 15H,520
10/24/2021 14H,58
10/24/2021 13H,21
10/24/2021 12H,15
10/24/2021 11H,21
10/24/2021 10H,21
10/24/2021 09H,25
10/24/2021 08H,24
10/24/2021 07H,38
10/24/2021 06H,42
10/24/2021 05H,50
10/24/2021 04H,46
10/24/2021 03H,51
10/24/2021 02H,95
10/24/2021 01H,204
10/24/2021 00H,763
10/23/2021 23H,1078
10/23/2021 22H,1157
10/23/2021 21H,1087
10/23/2021 20H,1168
10/23/2021 19H,1268
10/23/2021 18H,1356
10/23/2021 17H,1300
10/23/2021 16H,1099
10/23/2021 15H,585
10/23/2021 14H,81
10/23/2021 13H,50
10/23/2021 12H,45
10/23/2021 11H,41
10/23/2021 10H,46
10/23/2021 09H,57
10/23/2021 08H,50
10/23/2021 07H,53
10/23/2021 06H,51
10/23/2021 05H,54
10/23/2021 04H,37
10/23/2021 03H,74
10/23/2021 02H,98
10/23/2021 01H,196
10/23/2021 00H,837
10/22/2021 23H,1346
10/22/2021 22H,1429
10/22/2021 21H,1403
10/22/2021 20H,1333
10/22/2021 19H,1357
10/22/2021 18H,1315
10/22/2021 17H,1214
10/22/2021 16H,1085
10/22/2021 15H,569
10/22/2021 14H,52
10/22/2021 13H,11
10/22/2021 12H,1
10/22/2021 11H,-2
10/22/2021 10H,-1
10/22/2021 09H,0
10/22/2021 08H,-2
10/22/2021 07H,3
10/22/2021 06H,3
10/22/2021 05H,8
10/22/2021 04H,24
