Net generation from nuclear for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.NUC.H
19:20:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.NUC.H megawatthours
10/22/2021 11H,5924
10/22/2021 10H,5918
10/22/2021 09H,5920
10/22/2021 08H,5916
10/22/2021 07H,5910
10/22/2021 06H,5916
10/22/2021 05H,5912
10/22/2021 04H,5909
10/22/2021 03H,5902
10/22/2021 02H,5904
10/22/2021 01H,5911
10/22/2021 00H,5895
10/21/2021 23H,5885
10/21/2021 22H,5886
10/21/2021 21H,5875
10/21/2021 20H,5820
10/21/2021 19H,5764
10/21/2021 18H,5771
10/21/2021 17H,5775
10/21/2021 16H,5786
10/21/2021 15H,5850
10/21/2021 14H,5941
10/21/2021 13H,5958
10/21/2021 12H,5957
10/21/2021 11H,5957
10/21/2021 10H,5952
10/21/2021 09H,5959
10/21/2021 08H,5948
10/21/2021 07H,5952
10/21/2021 06H,5953
10/21/2021 05H,5952
10/21/2021 04H,5943
10/21/2021 03H,5934
10/21/2021 02H,5943
10/21/2021 01H,5948
10/21/2021 00H,5942
10/20/2021 23H,5948
10/20/2021 22H,5938
10/20/2021 21H,5944
10/20/2021 20H,5941
10/20/2021 19H,5944
10/20/2021 18H,5940
10/20/2021 17H,5943
10/20/2021 16H,5959
10/20/2021 15H,5964
10/20/2021 14H,5987
10/20/2021 13H,5989
10/20/2021 12H,5986
10/20/2021 11H,5984
10/20/2021 10H,5980
10/20/2021 09H,5980
10/20/2021 08H,5986
10/20/2021 07H,5981
10/20/2021 06H,5978
10/20/2021 05H,5979
10/20/2021 04H,5975
10/20/2021 03H,5975
10/20/2021 02H,5974
10/20/2021 01H,5961
10/20/2021 00H,5962
10/19/2021 23H,5962
10/19/2021 22H,5956
10/19/2021 21H,5961
10/19/2021 20H,5957
10/19/2021 19H,5960
10/19/2021 18H,5953
10/19/2021 17H,5971
10/19/2021 16H,5968
10/19/2021 15H,5983
