Net generation from hydro for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WAT.H
19:02:08 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WAT.H megawatthours
11/11/2021 09H,18207
11/11/2021 08H,19001
11/11/2021 07H,20238
11/11/2021 06H,22777
11/11/2021 05H,25339
11/11/2021 04H,29270
11/11/2021 03H,32751
11/11/2021 02H,35622
11/11/2021 01H,35394
11/11/2021 00H,34036
11/10/2021 23H,30755
11/10/2021 22H,27471
11/10/2021 21H,24901
11/10/2021 20H,22965
11/10/2021 19H,23103
11/10/2021 18H,23726
11/10/2021 17H,25054
11/10/2021 16H,27425
11/10/2021 15H,30068
11/10/2021 14H,30120
11/10/2021 13H,29396
11/10/2021 12H,25740
11/10/2021 11H,20686
11/10/2021 10H,18014
11/10/2021 09H,17237
11/10/2021 08H,17625
11/10/2021 07H,18504
11/10/2021 06H,20657
11/10/2021 05H,24273
11/10/2021 04H,27622
11/10/2021 03H,31142
11/10/2021 02H,34386
11/10/2021 01H,35453
11/10/2021 00H,34016
11/9/2021 23H,30717
11/9/2021 22H,27356
11/9/2021 21H,24532
11/9/2021 20H,22888
11/9/2021 19H,23334
11/9/2021 18H,24095
11/9/2021 17H,25685
11/9/2021 16H,28687
11/9/2021 15H,30513
11/9/2021 14H,31698
11/9/2021 13H,32217
11/9/2021 12H,29708
11/9/2021 11H,24530
11/9/2021 10H,19921
11/9/2021 09H,18499
11/9/2021 08H,19208
11/9/2021 07H,19434
11/9/2021 06H,22251
11/9/2021 05H,25241
11/9/2021 04H,28020
11/9/2021 03H,30936
11/9/2021 02H,33757
11/9/2021 01H,35363
11/9/2021 00H,33468
11/8/2021 23H,29732
11/8/2021 22H,26375
11/8/2021 21H,23217
11/8/2021 20H,22508
11/8/2021 19H,23244
11/8/2021 18H,24395
11/8/2021 17H,26009
11/8/2021 16H,29031
11/8/2021 15H,32184
11/8/2021 14H,32735
11/8/2021 13H,33102
11/8/2021 12H,28904
11/8/2021 11H,23144
11/8/2021 10H,19937
11/8/2021 09H,18782
11/8/2021 08H,17455
11/8/2021 07H,18405
11/8/2021 06H,19658
11/8/2021 05H,23111
11/8/2021 04H,26398
11/8/2021 03H,29081
11/8/2021 02H,31306
11/8/2021 01H,31903
11/8/2021 00H,31069
11/7/2021 23H,26462
11/7/2021 22H,22893
11/7/2021 21H,21569
11/7/2021 20H,20154
11/7/2021 19H,20964
11/7/2021 18H,22445
11/7/2021 17H,22998
11/7/2021 16H,24312
11/7/2021 15H,26401
11/7/2021 14H,26800
11/7/2021 13H,25039
11/7/2021 12H,22603
11/7/2021 11H,19048
11/7/2021 10H,16759
11/7/2021 09H,16896
11/7/2021 08H,17935
11/7/2021 07H,18229
11/7/2021 06H,19645
11/7/2021 05H,20457
11/7/2021 04H,22133
11/7/2021 03H,25580
11/7/2021 02H,26917
11/7/2021 01H,27959
11/7/2021 00H,25102
11/6/2021 23H,21861
11/6/2021 22H,20250
11/6/2021 21H,19633
11/6/2021 20H,19927
11/6/2021 19H,20214
11/6/2021 18H,21762
11/6/2021 17H,23669
11/6/2021 16H,25404
11/6/2021 15H,26902
11/6/2021 14H,26744
11/6/2021 13H,25834
11/6/2021 12H,24174
11/6/2021 11H,21273
11/6/2021 10H,19056
11/6/2021 09H,17653
11/6/2021 08H,17569
11/6/2021 07H,17979
11/6/2021 06H,21084
11/6/2021 05H,23756
11/6/2021 04H,26558
11/6/2021 03H,29854
11/6/2021 02H,31940
11/6/2021 01H,33150
11/6/2021 00H,31009
11/5/2021 23H,28403
11/5/2021 22H,24895
11/5/2021 21H,22114
11/5/2021 20H,21401
11/5/2021 19H,21346
11/5/2021 18H,23198
11/5/2021 17H,24278
11/5/2021 16H,27636
11/5/2021 15H,31934
11/5/2021 14H,33491
11/5/2021 13H,32392
11/5/2021 12H,29808
11/5/2021 11H,25914
11/5/2021 10H,22034
11/5/2021 09H,20011
11/5/2021 08H,17779
11/5/2021 07H,18783
11/5/2021 06H,20315
11/5/2021 05H,22422
11/5/2021 04H,25549
11/5/2021 03H,28757
11/5/2021 02H,32352
11/5/2021 01H,34550
11/5/2021 00H,34450
11/4/2021 23H,31398
11/4/2021 22H,28000
11/4/2021 21H,25415
11/4/2021 20H,24731
11/4/2021 19H,24722
11/4/2021 18H,25740
11/4/2021 17H,26334
11/4/2021 16H,28035
11/4/2021 15H,31453
11/4/2021 14H,33100
11/4/2021 13H,32219
11/4/2021 12H,30759
11/4/2021 11H,25825
11/4/2021 10H,20342
11/4/2021 09H,18431
11/4/2021 08H,18403
11/4/2021 07H,18140
11/4/2021 06H,19757
11/4/2021 05H,22640
11/4/2021 04H,26152
11/4/2021 03H,29441
11/4/2021 02H,33447
11/4/2021 01H,37364
11/4/2021 00H,37295
11/3/2021 23H,32510
11/3/2021 22H,28516
11/3/2021 21H,25190
11/3/2021 20H,23752
11/3/2021 19H,23316
11/3/2021 18H,24286
11/3/2021 17H,26467
11/3/2021 16H,29436
11/3/2021 15H,33067
11/3/2021 14H,34488
11/3/2021 13H,33182
11/3/2021 12H,30635
11/3/2021 11H,25657
11/3/2021 10H,21011
11/3/2021 09H,18659
11/3/2021 08H,18327
11/3/2021 07H,18973
11/3/2021 06H,20260
11/3/2021 05H,24444
11/3/2021 04H,28801
11/3/2021 03H,32292
11/3/2021 02H,36142
11/3/2021 01H,38440
11/3/2021 00H,37637
11/2/2021 23H,34426
11/2/2021 22H,30429
11/2/2021 21H,27160
11/2/2021 20H,25369
11/2/2021 19H,24743
11/2/2021 18H,24980
11/2/2021 17H,26993
11/2/2021 16H,29914
11/2/2021 15H,32950
11/2/2021 14H,33815
11/2/2021 13H,31915
11/2/2021 12H,28842
11/2/2021 11H,24694
11/2/2021 10H,20713
11/2/2021 09H,17863
11/2/2021 08H,17429
11/2/2021 07H,18129
