Net generation from other for Tennessee (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390117&sdid=EBA.TEN-ALL.NG.OTH.H
19:23:29 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEN-ALL.NG.OTH.H megawatthours
11/9/2021 22H,3
11/9/2021 21H,3
11/9/2021 20H,2
11/9/2021 19H,3
11/9/2021 18H,0
11/9/2021 17H,0
11/9/2021 16H,3
11/9/2021 15H,14
11/9/2021 14H,17
11/9/2021 13H,19
11/9/2021 12H,23
11/9/2021 11H,19
11/9/2021 10H,14
11/9/2021 09H,12
11/9/2021 08H,11
11/9/2021 07H,11
11/9/2021 06H,14
11/9/2021 05H,20
11/9/2021 04H,28
11/9/2021 03H,28
11/9/2021 02H,28
11/9/2021 01H,25
11/9/2021 00H,22
11/8/2021 23H,20
11/8/2021 22H,19
11/8/2021 21H,20
11/8/2021 20H,22
11/8/2021 19H,28
11/8/2021 18H,28
11/8/2021 17H,20
11/8/2021 16H,25
11/8/2021 15H,14
11/8/2021 14H,6
11/8/2021 13H,2
11/8/2021 12H,3
11/8/2021 11H,6
11/8/2021 10H,5
11/8/2021 09H,14
11/8/2021 08H,14
11/8/2021 07H,17
11/8/2021 06H,1
11/8/2021 05H,14
11/8/2021 04H,17
11/8/2021 03H,19
11/8/2021 02H,14
11/8/2021 01H,17
11/8/2021 00H,14
11/7/2021 23H,17
11/7/2021 22H,17
11/7/2021 21H,19
11/7/2021 20H,17
11/7/2021 19H,17
11/7/2021 18H,17
11/7/2021 17H,17
11/7/2021 16H,16
11/7/2021 15H,17
11/7/2021 14H,17
11/7/2021 13H,20
11/7/2021 12H,16
11/7/2021 11H,17
11/7/2021 10H,17
11/7/2021 09H,14
11/7/2021 08H,14
11/7/2021 07H,14
11/7/2021 06H,14
11/7/2021 05H,14
11/7/2021 04H,17
11/7/2021 03H,14
11/7/2021 02H,14
11/7/2021 01H,14
11/7/2021 00H,14
11/6/2021 23H,28
11/6/2021 22H,25
11/6/2021 21H,26
11/6/2021 20H,19
11/6/2021 19H,17
11/6/2021 18H,17
11/6/2021 17H,22
11/6/2021 16H,17
11/6/2021 15H,17
11/6/2021 14H,19
11/6/2021 13H,23
11/6/2021 12H,22
11/6/2021 11H,23
11/6/2021 10H,22
11/6/2021 09H,22
11/6/2021 08H,20
11/6/2021 07H,22
11/6/2021 06H,14
11/6/2021 05H,14
11/6/2021 04H,17
11/6/2021 03H,14
11/6/2021 02H,14
11/6/2021 01H,14
11/6/2021 00H,14
11/5/2021 23H,28
11/5/2021 22H,25
11/5/2021 21H,26
11/5/2021 20H,19
11/5/2021 19H,17
11/5/2021 18H,17
11/5/2021 17H,22
11/5/2021 16H,17
11/5/2021 15H,17
11/5/2021 14H,19
11/5/2021 13H,23
11/5/2021 12H,22
11/5/2021 11H,23
11/5/2021 10H,22
11/5/2021 09H,22
11/5/2021 08H,20
11/5/2021 07H,22
11/5/2021 06H,20
11/5/2021 05H,20
11/5/2021 04H,22
11/5/2021 03H,20
11/5/2021 02H,22
11/5/2021 01H,20
11/5/2021 00H,19
11/4/2021 23H,28
11/4/2021 22H,31
11/4/2021 21H,31
11/4/2021 20H,25
11/4/2021 19H,22
11/4/2021 18H,26
11/4/2021 17H,25
11/4/2021 16H,19
11/4/2021 15H,17
11/4/2021 14H,20
11/4/2021 13H,17
11/4/2021 12H,19
11/4/2021 11H,20
11/4/2021 10H,17
11/4/2021 09H,14
11/4/2021 08H,19
11/4/2021 07H,20
11/4/2021 06H,19
