Net generation from other for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.OTH.H
19:16:06 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.OTH.H megawatthours
11/1/2021 17H,655
11/1/2021 16H,673
11/1/2021 15H,673
11/1/2021 14H,681
11/1/2021 13H,678
11/1/2021 12H,692
11/1/2021 11H,701
11/1/2021 10H,707
11/1/2021 09H,699
11/1/2021 08H,705
11/1/2021 07H,700
11/1/2021 06H,680
11/1/2021 05H,677
11/1/2021 04H,686
11/1/2021 03H,680
11/1/2021 02H,716
11/1/2021 01H,715
11/1/2021 00H,703
10/31/2021 23H,717
10/31/2021 22H,714
10/31/2021 21H,718
10/31/2021 20H,713
10/31/2021 19H,712
10/31/2021 18H,716
10/31/2021 17H,704
10/31/2021 16H,703
10/31/2021 15H,694
10/31/2021 14H,701
10/31/2021 13H,710
10/31/2021 12H,722
10/31/2021 11H,726
10/31/2021 10H,709
10/31/2021 09H,695
10/31/2021 08H,692
10/31/2021 07H,692
10/31/2021 06H,702
10/31/2021 05H,704
10/31/2021 04H,707
10/31/2021 03H,710
10/31/2021 02H,717
10/31/2021 01H,694
10/31/2021 00H,703
10/30/2021 23H,712
10/30/2021 22H,718
10/30/2021 21H,728
10/30/2021 20H,715
10/30/2021 19H,713
10/30/2021 18H,723
10/30/2021 17H,724
10/30/2021 16H,715
10/30/2021 15H,713
10/30/2021 14H,710
10/30/2021 13H,719
10/30/2021 12H,724
10/30/2021 11H,741
10/30/2021 10H,725
10/30/2021 09H,708
10/30/2021 08H,714
10/30/2021 07H,717
10/30/2021 06H,722
10/30/2021 05H,705
10/30/2021 04H,698
10/30/2021 03H,696
10/30/2021 02H,690
10/30/2021 01H,691
10/30/2021 00H,682
10/29/2021 23H,694
10/29/2021 22H,688
10/29/2021 21H,698
10/29/2021 20H,695
10/29/2021 19H,690
10/29/2021 18H,680
10/29/2021 17H,688
10/29/2021 16H,678
10/29/2021 15H,669
10/29/2021 14H,682
10/29/2021 13H,681
10/29/2021 12H,690
10/29/2021 11H,711
10/29/2021 10H,709
10/29/2021 09H,703
10/29/2021 08H,696
10/29/2021 07H,693
10/29/2021 06H,700
10/29/2021 05H,695
10/29/2021 04H,689
10/29/2021 03H,696
10/29/2021 02H,699
10/29/2021 01H,686
10/29/2021 00H,701
10/28/2021 23H,714
10/28/2021 22H,703
10/28/2021 21H,700
10/28/2021 20H,698
10/28/2021 19H,674
10/28/2021 18H,675
10/28/2021 17H,667
10/28/2021 16H,680
10/28/2021 15H,668
10/28/2021 14H,680
10/28/2021 13H,683
10/28/2021 12H,690
10/28/2021 11H,699
10/28/2021 10H,693
10/28/2021 09H,686
10/28/2021 08H,677
10/28/2021 07H,670
10/28/2021 06H,641
10/28/2021 05H,637
10/28/2021 04H,654
10/28/2021 03H,645
10/28/2021 02H,635
10/28/2021 01H,630
10/28/2021 00H,638
10/27/2021 23H,675
10/27/2021 22H,674
10/27/2021 21H,658
10/27/2021 20H,620
10/27/2021 19H,638
10/27/2021 18H,637
10/27/2021 17H,656
10/27/2021 16H,644
10/27/2021 15H,629
10/27/2021 14H,637
10/27/2021 13H,632
10/27/2021 12H,640
10/27/2021 11H,654
10/27/2021 10H,653
10/27/2021 09H,642
10/27/2021 08H,646
10/27/2021 07H,651
10/27/2021 06H,658
10/27/2021 05H,650
10/27/2021 04H,655
10/27/2021 03H,658
10/27/2021 02H,0
10/27/2021 01H,663
10/27/2021 00H,662
10/26/2021 23H,665
10/26/2021 22H,669
10/26/2021 21H,667
10/26/2021 20H,666
10/26/2021 19H,664
10/26/2021 18H,663
10/26/2021 17H,666
10/26/2021 16H,669
10/26/2021 15H,659
10/26/2021 14H,661
10/26/2021 13H,657
10/26/2021 12H,669
10/26/2021 11H,657
10/26/2021 10H,660
10/26/2021 09H,657
10/26/2021 08H,652
10/26/2021 07H,649
10/26/2021 06H,641
10/26/2021 05H,650
10/26/2021 04H,660
10/26/2021 03H,640
10/26/2021 02H,640
10/26/2021 01H,653
10/26/2021 00H,685
10/25/2021 23H,677
10/25/2021 22H,676
10/25/2021 21H,663
10/25/2021 20H,659
10/25/2021 19H,643
10/25/2021 18H,651
10/25/2021 17H,659
10/25/2021 16H,653
10/25/2021 15H,664
10/25/2021 14H,652
10/25/2021 13H,640
10/25/2021 12H,649
10/25/2021 11H,665
10/25/2021 10H,647
10/25/2021 09H,639
10/25/2021 08H,638
10/25/2021 07H,635
10/25/2021 06H,631
10/25/2021 05H,645
10/25/2021 04H,650
10/25/2021 03H,651
10/25/2021 02H,671
10/25/2021 01H,671
10/25/2021 00H,670
10/24/2021 23H,675
10/24/2021 22H,673
10/24/2021 21H,673
10/24/2021 20H,667
10/24/2021 19H,673
10/24/2021 18H,671
10/24/2021 17H,669
10/24/2021 16H,691
10/24/2021 15H,688
10/24/2021 14H,680
10/24/2021 13H,651
10/24/2021 12H,656
10/24/2021 11H,660
10/24/2021 10H,680
10/24/2021 09H,684
10/24/2021 08H,676
10/24/2021 07H,684
10/24/2021 06H,678
10/24/2021 05H,687
10/24/2021 04H,672
10/24/2021 03H,691
10/24/2021 02H,684
10/24/2021 01H,690
10/24/2021 00H,694
10/23/2021 23H,695
10/23/2021 22H,707
10/23/2021 21H,701
10/23/2021 20H,690
10/23/2021 19H,679
10/23/2021 18H,678
10/23/2021 17H,670
10/23/2021 16H,686
10/23/2021 15H,671
10/23/2021 14H,672
10/23/2021 13H,682
10/23/2021 12H,678
10/23/2021 11H,667
10/23/2021 10H,666
10/23/2021 09H,673
10/23/2021 08H,0
10/23/2021 07H,667
10/23/2021 06H,664
10/23/2021 05H,669
10/23/2021 04H,672
10/23/2021 03H,667
10/23/2021 02H,668
10/23/2021 01H,677
10/23/2021 00H,656
10/22/2021 23H,654
10/22/2021 22H,645
