Net generation from natural gas for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.NG.H
19:15:53 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.NG.H megawatthours
11/7/2021 12H,6132
11/7/2021 11H,5846
11/7/2021 10H,5506
11/7/2021 09H,5418
11/7/2021 08H,5500
11/7/2021 07H,5011
11/7/2021 06H,5013
11/7/2021 05H,5194
11/7/2021 04H,6080
11/7/2021 03H,6996
11/7/2021 02H,7791
11/7/2021 01H,8005
11/7/2021 00H,8243
11/6/2021 23H,8519
11/6/2021 22H,8566
11/6/2021 21H,7646
11/6/2021 20H,6489
11/6/2021 19H,6292
11/6/2021 18H,5972
11/6/2021 17H,6182
11/6/2021 16H,6620
11/6/2021 15H,7171
11/6/2021 14H,7425
11/6/2021 13H,7841
11/6/2021 12H,7745
11/6/2021 11H,7327
11/6/2021 10H,6924
11/6/2021 09H,6409
11/6/2021 08H,6597
11/6/2021 07H,6862
11/6/2021 06H,6865
11/6/2021 05H,6838
11/6/2021 04H,7163
11/6/2021 03H,8130
11/6/2021 02H,8570
11/6/2021 01H,8618
11/6/2021 00H,8894
11/5/2021 23H,9117
11/5/2021 22H,8951
11/5/2021 21H,8390
11/5/2021 20H,7377
11/5/2021 19H,7632
11/5/2021 18H,7525
11/5/2021 17H,7484
11/5/2021 16H,7992
11/5/2021 15H,8326
11/5/2021 14H,8768
11/5/2021 13H,9360
11/5/2021 12H,9232
11/5/2021 11H,8385
11/5/2021 10H,7372
11/5/2021 09H,6702
11/5/2021 08H,6566
11/5/2021 07H,6381
11/5/2021 06H,6520
11/5/2021 05H,6677
11/5/2021 04H,7059
11/5/2021 03H,8036
11/5/2021 02H,8933
11/5/2021 01H,9223
11/5/2021 00H,9295
11/4/2021 23H,9103
11/4/2021 22H,9165
11/4/2021 21H,8961
11/4/2021 20H,8373
11/4/2021 19H,7864
11/4/2021 18H,7678
11/4/2021 17H,7471
11/4/2021 16H,7801
11/4/2021 15H,8289
11/4/2021 14H,8941
11/4/2021 13H,9025
11/4/2021 12H,9154
11/4/2021 11H,8257
11/4/2021 10H,6908
11/4/2021 09H,6572
11/4/2021 08H,6223
11/4/2021 07H,6030
11/4/2021 06H,5894
11/4/2021 05H,6222
11/4/2021 04H,6352
11/4/2021 03H,7245
11/4/2021 02H,8152
11/4/2021 01H,8708
11/4/2021 00H,8982
11/3/2021 23H,9038
11/3/2021 22H,8863
11/3/2021 21H,8134
11/3/2021 20H,7466
11/3/2021 19H,7240
11/3/2021 18H,7267
11/3/2021 17H,7033
11/3/2021 16H,7147
11/3/2021 15H,7588
11/3/2021 14H,8168
11/3/2021 13H,8580
11/3/2021 12H,8508
11/3/2021 11H,7765
11/3/2021 10H,6130
11/3/2021 09H,5579
11/3/2021 08H,5293
11/3/2021 07H,5068
11/3/2021 06H,5139
11/3/2021 05H,5461
11/3/2021 04H,6267
11/3/2021 03H,6955
11/3/2021 02H,7804
11/3/2021 01H,8401
11/3/2021 00H,8551
11/2/2021 23H,8902
11/2/2021 22H,8564
11/2/2021 21H,8291
11/2/2021 20H,8013
11/2/2021 19H,7976
11/2/2021 18H,7972
11/2/2021 17H,7681
11/2/2021 16H,7433
11/2/2021 15H,7832
11/2/2021 14H,7947
11/2/2021 13H,8182
11/2/2021 12H,8001
11/2/2021 11H,7135
11/2/2021 10H,5660
11/2/2021 09H,5012
11/2/2021 08H,4685
11/2/2021 07H,4721
11/2/2021 06H,4757
11/2/2021 05H,4849
11/2/2021 04H,5324
11/2/2021 03H,6215
11/2/2021 02H,7067
11/2/2021 01H,7971
11/2/2021 00H,7977
11/1/2021 23H,7875
11/1/2021 22H,7688
11/1/2021 21H,0
11/1/2021 20H,6070
11/1/2021 19H,5509
11/1/2021 18H,5575
11/1/2021 17H,5519
11/1/2021 16H,5789
11/1/2021 15H,5797
11/1/2021 14H,6489
11/1/2021 13H,6940
11/1/2021 12H,6852
11/1/2021 11H,6111
11/1/2021 10H,4933
11/1/2021 09H,4366
11/1/2021 08H,3902
11/1/2021 07H,4015
11/1/2021 06H,4197
11/1/2021 05H,4529
11/1/2021 04H,4799
11/1/2021 03H,5491
11/1/2021 02H,6068
11/1/2021 01H,6347
11/1/2021 00H,6210
10/31/2021 23H,6396
10/31/2021 22H,6378
10/31/2021 21H,6124
