Net generation from wind for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.WND.H
19:16:29 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.WND.H megawatthours
10/26/2021 10H,632
10/26/2021 09H,582
10/26/2021 08H,510
10/26/2021 07H,464
10/26/2021 06H,438
10/26/2021 05H,422
10/26/2021 04H,347
10/26/2021 03H,309
10/26/2021 02H,285
10/26/2021 01H,236
10/26/2021 00H,242
10/25/2021 23H,230
10/25/2021 22H,230
10/25/2021 21H,226
10/25/2021 20H,206
10/25/2021 19H,152
10/25/2021 18H,132
10/25/2021 17H,123
10/25/2021 16H,144
10/25/2021 15H,158
10/25/2021 14H,150
10/25/2021 13H,171
10/25/2021 12H,219
10/25/2021 11H,263
10/25/2021 10H,292
10/25/2021 09H,346
10/25/2021 08H,408
10/25/2021 07H,409
10/25/2021 06H,434
10/25/2021 05H,466
10/25/2021 04H,507
10/25/2021 03H,551
10/25/2021 02H,548
10/25/2021 01H,532
10/25/2021 00H,558
10/24/2021 23H,593
10/24/2021 22H,613
10/24/2021 21H,744
10/24/2021 20H,782
10/24/2021 19H,788
10/24/2021 18H,808
10/24/2021 17H,827
10/24/2021 16H,854
10/24/2021 15H,847
10/24/2021 14H,834
10/24/2021 13H,829
10/24/2021 12H,871
10/24/2021 11H,845
10/24/2021 10H,764
10/24/2021 09H,663
10/24/2021 08H,616
10/24/2021 07H,630
10/24/2021 06H,633
10/24/2021 05H,621
10/24/2021 04H,605
10/24/2021 03H,578
10/24/2021 02H,514
10/24/2021 01H,450
10/24/2021 00H,378
10/23/2021 23H,326
10/23/2021 22H,229
10/23/2021 21H,143
10/23/2021 20H,113
10/23/2021 19H,92
10/23/2021 18H,69
10/23/2021 17H,45
10/23/2021 16H,38
10/23/2021 15H,56
10/23/2021 14H,97
10/23/2021 13H,173
10/23/2021 12H,205
10/23/2021 11H,238
10/23/2021 10H,270
10/23/2021 09H,289
10/23/2021 08H,0
10/23/2021 07H,341
10/23/2021 06H,379
10/23/2021 05H,437
10/23/2021 04H,466
10/23/2021 03H,561
10/23/2021 02H,635
10/23/2021 01H,614
10/23/2021 00H,596
10/22/2021 23H,522
10/22/2021 22H,466
10/22/2021 21H,414
10/22/2021 20H,320
10/22/2021 19H,369
10/22/2021 18H,354
10/22/2021 17H,350
10/22/2021 16H,337
10/22/2021 15H,381
10/22/2021 14H,414
10/22/2021 13H,388
10/22/2021 12H,372
10/22/2021 11H,359
10/22/2021 10H,350
10/22/2021 09H,310
10/22/2021 08H,328
10/22/2021 07H,321
10/22/2021 06H,306
10/22/2021 05H,302
10/22/2021 04H,307
10/22/2021 03H,307
10/22/2021 02H,0
10/22/2021 01H,235
10/22/2021 00H,328
10/21/2021 23H,312
10/21/2021 22H,248
10/21/2021 21H,180
10/21/2021 20H,153
10/21/2021 19H,151
10/21/2021 18H,101
10/21/2021 17H,93
10/21/2021 16H,89
10/21/2021 15H,84
10/21/2021 14H,123
10/21/2021 13H,189
10/21/2021 12H,235
10/21/2021 11H,286
10/21/2021 10H,267
10/21/2021 09H,268
10/21/2021 08H,266
10/21/2021 07H,265
10/21/2021 06H,236
10/21/2021 05H,199
10/21/2021 04H,190
10/21/2021 03H,159
10/21/2021 02H,180
10/21/2021 01H,179
10/21/2021 00H,161
10/20/2021 23H,0
10/20/2021 22H,200
10/20/2021 21H,243
10/20/2021 20H,278
10/20/2021 19H,323
